date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Greece,Mykonos,19.4,79,20.2,2,7.4,133
2026-05-17,Greece,Mykonos,21.8,49,21.4,3,8.8,19
2026-05-17,Greece,Mykonos,22.0,47,21.9,3,2.6,254
2026-05-17,Greece,Mykonos,21.6,49,20.5,1,8.7,197
2026-05-18,Greece,Mykonos,19.1,64,18.2,0,11.2,2
2026-05-19,Greece,Mykonos,18.9,80,19.3,3,9.7,239
2026-05-20,Greece,Mykonos,20.0,57,17.8,0,18.0,334
2026-05-21,Greece,Mykonos,20.5,63,20.5,0,6.8,360
2026-05-22,Greece,Mykonos,20.0,78,19.1,3,20.2,1
2026-05-23,Greece,Mykonos,19.8,83,19.7,95,18.4,6
2026-05-24,Greece,Mykonos,21.0,74,19.5,1,32.2,354
