date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Greece,Santorini,19.8,67,19.6,2,8.8,109
2026-05-17,Greece,Santorini,21.8,44,19.2,2,20.1,291
2026-05-17,Greece,Santorini,20.7,48,18.1,3,16.4,285
2026-05-17,Greece,Santorini,20.1,67,19.0,1,15.9,274
2026-05-18,Greece,Santorini,20.7,65,21.3,0,4.0,297
2026-05-19,Greece,Santorini,18.2,75,16.1,2,22.6,256
2026-05-20,Greece,Santorini,19.6,65,18.2,1,15.5,314
2026-05-21,Greece,Santorini,21.4,57,21.1,0,7.3,303
2026-05-22,Greece,Santorini,21.9,57,20.7,2,14.9,340
2026-05-23,Greece,Santorini,20.0,79,20.7,80,13.5,304
2026-05-24,Greece,Santorini,22.3,66,22.4,2,19.5,355
2026-05-25,Greece,Santorini,21.5,64,21.0,0,13.2,343
2026-05-26,Greece,Santorini,21.8,62,22.3,0,5.7,305
2026-05-27,Greece,Santorini,21.2,67,22.1,1,5.1,262
2026-05-28,Greece,Santorini,20.8,67,20.9,0,9.0,275
2026-05-29,Greece,Santorini,22.1,75,23.9,3,5.2,344
2026-05-30,Greece,Santorini,24.9,33,23.2,0,16.6,5
2026-05-31,Greece,Santorini,24.8,51,24.7,0,9.7,272
2026-06-01,Greece,Santorini,21.1,77,22.4,0,7.6,267
2026-06-02,Greece,Santorini,20.8,85,21.4,1,15.8,249
2026-06-03,Greece,Santorini,21.1,81,22.0,0,12.9,234
2026-06-04,Greece,Santorini,23.4,45,21.6,3,13.6,259
2026-06-05,Greece,Santorini,22.7,73,24.1,2,8.4,310
2026-06-06,Greece,Santorini,26.1,56,27.8,0,13.0,304
2026-06-07,Greece,Santorini,27.2,47,27.2,0,11.0,302
2026-06-08,Greece,Santorini,25.2,56,25.9,0,8.9,328
2026-06-09,Greece,Santorini,24.6,65,25.4,0,13.5,312
2026-06-10,Greece,Santorini,23.9,66,25.6,0,6.1,320
2026-06-11,Greece,Santorini,24.0,63,25.0,0,8.4,290
2026-06-12,Greece,Santorini,23.0,83,24.8,3,13.8,290
