date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Greece,Thessaloniki,18.2,82,19.1,0,5.0,210
2026-05-17,Greece,Thessaloniki,23.1,33,20.0,3,15.3,319
2026-05-17,Greece,Thessaloniki,23.5,31,20.2,3,15.2,324
2026-05-17,Greece,Thessaloniki,23.1,33,19.5,1,17.7,347
2026-05-18,Greece,Thessaloniki,22.0,44,20.9,1,6.0,213
2026-05-19,Greece,Thessaloniki,16.9,68,14.5,80,18.3,345
2026-05-20,Greece,Thessaloniki,22.1,37,18.8,1,17.1,338
2026-05-21,Greece,Thessaloniki,24.8,28,21.4,2,14.7,329
2026-05-22,Greece,Thessaloniki,23.2,56,23.6,3,5.9,349
2026-05-23,Greece,Thessaloniki,25.9,39,24.4,3,12.3,345
2026-05-24,Greece,Thessaloniki,28.3,34,29.2,2,6.4,313
2026-05-25,Greece,Thessaloniki,24.4,51,24.6,2,6.6,193
2026-05-26,Greece,Thessaloniki,25.1,51,25.7,2,5.1,176
2026-05-27,Greece,Thessaloniki,25.2,55,26.2,3,6.0,205
2026-05-28,Greece,Thessaloniki,25.9,42,23.3,0,21.7,336
2026-05-29,Greece,Thessaloniki,20.9,60,20.6,0,8.0,190
2026-05-30,Greece,Thessaloniki,27.9,28,27.4,0,10.5,266
2026-05-31,Greece,Thessaloniki,29.5,30,27.8,2,11.2,230
2026-06-01,Greece,Thessaloniki,21.5,68,22.8,3,3.3,41
2026-06-02,Greece,Thessaloniki,22.7,84,25.8,3,4.0,10
2026-06-03,Greece,Thessaloniki,22.6,76,25.0,0,4.0,63
2026-06-04,Greece,Thessaloniki,21.6,78,24.0,1,2.0,315
2026-06-05,Greece,Thessaloniki,24.6,69,26.6,0,7.9,219
2026-06-06,Greece,Thessaloniki,30.1,38,30.9,0,13.2,206
2026-06-07,Greece,Thessaloniki,32.1,26,29.9,0,15.1,205
2026-06-08,Greece,Thessaloniki,26.0,54,26.5,3,10.2,162
2026-06-09,Greece,Thessaloniki,26.8,56,29.0,1,2.9,173
2026-06-10,Greece,Thessaloniki,24.7,72,27.7,3,3.4,238
2026-06-11,Greece,Thessaloniki,25.1,55,26.5,3,2.6,236
2026-06-12,Greece,Thessaloniki,22.9,39,19.0,3,23.4,337
2026-06-13,Greece,Thessaloniki,28.4,27,25.6,2,14.5,330
