date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Hungary,Debrecen,14.2,87,12.8,3,14.8,29
2026-05-17,Hungary,Debrecen,22.3,54,22.3,0,15.5,8
2026-05-17,Hungary,Debrecen,22.8,53,22.6,2,15.5,10
2026-05-17,Hungary,Debrecen,21.9,54,20.3,1,15.8,11
2026-05-18,Hungary,Debrecen,15.0,70,13.7,3,7.9,210
2026-05-19,Hungary,Debrecen,19.9,51,18.0,2,12.2,18
2026-05-20,Hungary,Debrecen,22.1,42,19.9,0,12.6,18
2026-05-21,Hungary,Debrecen,23.2,43,20.0,0,21.6,5
2026-05-22,Hungary,Debrecen,24.5,36,21.2,0,20.2,11
2026-05-23,Hungary,Debrecen,28.1,25,26.7,3,13.7,21
2026-05-24,Hungary,Debrecen,28.5,25,27.7,0,11.2,32
2026-05-25,Hungary,Debrecen,27.8,31,25.3,2,15.5,38
2026-05-26,Hungary,Debrecen,28.8,23,25.6,0,14.4,50
2026-05-27,Hungary,Debrecen,25.5,42,24.7,3,9.4,31
2026-05-28,Hungary,Debrecen,19.6,28,15.1,0,16.6,37
2026-05-29,Hungary,Debrecen,22.4,19,18.8,2,7.9,171
2026-05-30,Hungary,Debrecen,22.1,33,18.2,3,18.7,292
2026-05-31,Hungary,Debrecen,25.6,37,25.2,1,3.2,35
2026-06-01,Hungary,Debrecen,16.9,95,18.0,53,7.6,314
2026-06-02,Hungary,Debrecen,21.2,58,20.9,2,7.9,151
2026-06-03,Hungary,Debrecen,22.7,50,21.9,3,9.4,102
2026-06-04,Hungary,Debrecen,25.9,45,25.2,3,11.5,222
2026-06-05,Hungary,Debrecen,26.6,40,26.2,3,7.2,249
2026-06-06,Hungary,Debrecen,24.3,51,23.9,1,10.8,230
2026-06-07,Hungary,Debrecen,30.1,25,28.6,1,6.8,288
2026-06-08,Hungary,Debrecen,26.8,31,25.0,0,9.4,111
2026-06-09,Hungary,Debrecen,30.2,30,29.2,3,8.6,222
2026-06-10,Hungary,Debrecen,29.2,34,28.4,2,9.4,97
2026-06-11,Hungary,Debrecen,20.2,52,18.6,51,11.5,14
2026-06-12,Hungary,Debrecen,20.3,48,19.2,2,5.8,350
2026-06-13,Hungary,Debrecen,24.3,48,23.2,0,13.7,242
2026-06-14,Hungary,Debrecen,26.6,46,24.6,2,26.3,252
2026-06-15,Hungary,Debrecen,25.6,22,21.3,1,18.0,273
2026-06-16,Hungary,Debrecen,28.8,21,26.1,0,16.9,249
2026-06-17,Hungary,Debrecen,24.1,59,25.1,2,6.1,51
2026-06-18,Hungary,Debrecen,30.1,22,29.3,3,7.6,25
2026-06-19,Hungary,Debrecen,31.9,29,32.1,2,6.8,22
2026-06-20,Hungary,Debrecen,32.9,30,32.9,3,6.8,357
2026-06-21,Hungary,Debrecen,33.4,32,34.4,3,3.2,346
2026-06-22,Hungary,Debrecen,33.5,34,34.1,3,9.0,63
2026-06-23,Hungary,Debrecen,32.5,37,34.7,3,7.2,54
2026-06-24,Hungary,Debrecen,34.7,18,34.6,0,9.0,21
2026-06-25,Hungary,Debrecen,34.8,17,34.0,0,11.9,355
2026-06-26,Hungary,Debrecen,36.1,24,37.2,1,8.6,22
2026-06-27,Hungary,Debrecen,37.5,18,37.7,0,10.4,37
2026-06-29,Hungary,Debrecen,40.3,18,39.9,3,5.8,330
2026-06-30,Hungary,Debrecen,40.8,20,41.9,3,9.7,19
2026-07-01,Hungary,Debrecen,37.3,25,38.6,0,11.5,197
2026-07-02,Hungary,Debrecen,30.8,45,32.4,0,18.0,2
2026-07-03,Hungary,Debrecen,32.4,18,30.7,0,15.8,342
2026-07-04,Hungary,Debrecen,29.2,17,27.7,0,11.2,291
2026-07-05,Hungary,Debrecen,28.2,26,25.9,2,10.8,277
2026-07-06,Hungary,Debrecen,29.5,26,28.2,3,6.8,253
2026-07-07,Hungary,Debrecen,29.8,32,28.4,3,15.8,251
2026-07-08,Hungary,Debrecen,24.6,51,24.9,3,10.8,314
2026-07-09,Hungary,Debrecen,27.7,18,25.3,1,11.5,292
2026-07-10,Hungary,Debrecen,28.3,21,27.1,2,9.0,288
