date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Hungary,Lake Balaton,10.8,87,6.1,61,30.1,341
2026-05-17,Hungary,Lake Balaton,15.4,58,10.8,3,26.9,348
2026-05-17,Hungary,Lake Balaton,15.7,56,11.0,3,27.2,349
2026-05-17,Hungary,Lake Balaton,15.5,56,10.8,2,26.4,355
2026-05-18,Hungary,Lake Balaton,17.0,54,15.7,0,4.4,81
2026-05-19,Hungary,Lake Balaton,19.1,59,18.9,0,3.5,336
2026-05-20,Hungary,Lake Balaton,19.6,49,17.7,1,11.0,341
2026-05-21,Hungary,Lake Balaton,20.9,47,18.3,0,16.8,345
2026-05-22,Hungary,Lake Balaton,23.0,39,20.3,1,15.2,338
2026-05-23,Hungary,Lake Balaton,25.2,40,25.4,1,10.0,334
2026-05-24,Hungary,Lake Balaton,26.5,42,28.4,0,5.5,328
2026-05-25,Hungary,Lake Balaton,28.1,43,27.5,1,14.4,4
2026-05-26,Hungary,Lake Balaton,25.1,55,26.2,0,4.9,287
2026-05-27,Hungary,Lake Balaton,20.9,83,22.3,2,10.5,266
2026-05-28,Hungary,Lake Balaton,19.3,38,16.8,0,8.3,358
2026-05-29,Hungary,Lake Balaton,19.2,48,18.0,0,4.8,222
2026-05-30,Hungary,Lake Balaton,28.0,29,27.8,2,6.9,317
2026-05-31,Hungary,Lake Balaton,26.9,44,26.6,3,9.7,321
2026-06-01,Hungary,Lake Balaton,14.8,81,14.2,2,7.3,259
2026-06-02,Hungary,Lake Balaton,19.1,69,18.7,1,10.1,153
2026-06-03,Hungary,Lake Balaton,15.6,82,14.7,3,11.9,5
2026-06-04,Hungary,Lake Balaton,20.8,61,20.8,3,6.2,187
2026-06-05,Hungary,Lake Balaton,16.9,71,15.6,3,12.2,2
2026-06-06,Hungary,Lake Balaton,23.8,48,23.1,3,9.5,281
2026-06-07,Hungary,Lake Balaton,26.0,39,23.8,3,17.0,354
2026-06-08,Hungary,Lake Balaton,25.8,58,28.2,0,0.8,27
2026-06-09,Hungary,Lake Balaton,26.3,56,27.3,3,10.0,334
2026-06-10,Hungary,Lake Balaton,20.1,71,19.4,1,16.2,359
2026-06-11,Hungary,Lake Balaton,15.4,71,14.0,0,9.7,301
2026-06-12,Hungary,Lake Balaton,20.3,47,19.2,2,5.3,332
2026-06-13,Hungary,Lake Balaton,25.8,45,24.8,1,13.1,249
2026-06-14,Hungary,Lake Balaton,25.8,55,28.2,2,10.7,78
2026-06-15,Hungary,Lake Balaton,20.3,65,19.4,1,14.8,206
2026-06-16,Hungary,Lake Balaton,27.2,33,25.8,1,16.4,261
2026-06-17,Hungary,Lake Balaton,28.5,44,29.7,1,9.9,314
2026-06-18,Hungary,Lake Balaton,28.8,42,28.6,3,12.8,350
2026-06-19,Hungary,Lake Balaton,32.1,35,34.2,0,8.2,38
2026-06-20,Hungary,Lake Balaton,32.4,34,34.1,0,12.2,204
2026-06-21,Hungary,Lake Balaton,32.3,41,35.6,0,8.4,295
2026-06-22,Hungary,Lake Balaton,31.3,45,31.9,3,15.9,332
2026-06-23,Hungary,Lake Balaton,30.6,38,30.6,1,18.0,2
2026-06-24,Hungary,Lake Balaton,30.7,31,30.7,0,16.5,350
2026-06-25,Hungary,Lake Balaton,32.2,30,33.4,0,10.5,344
2026-06-26,Hungary,Lake Balaton,34.6,27,36.6,0,7.2,360
2026-06-27,Hungary,Lake Balaton,35.4,31,38.3,0,7.7,319
2026-06-29,Hungary,Lake Balaton,37.4,30,40.3,0,8.0,170
2026-06-30,Hungary,Lake Balaton,35.9,34,39.1,0,9.8,332
2026-07-01,Hungary,Lake Balaton,35.2,36,39.5,2,1.1,162
2026-07-02,Hungary,Lake Balaton,27.1,39,25.0,2,27.0,358
2026-07-03,Hungary,Lake Balaton,27.0,45,25.0,3,27.3,344
2026-07-04,Hungary,Lake Balaton,25.4,34,24.0,1,16.1,333
2026-07-05,Hungary,Lake Balaton,27.3,34,25.2,2,18.8,290
2026-07-06,Hungary,Lake Balaton,24.7,50,24.2,3,11.4,336
2026-07-07,Hungary,Lake Balaton,30.6,36,30.4,3,15.6,251
2026-07-08,Hungary,Lake Balaton,22.8,62,22.2,61,16.3,317
2026-07-09,Hungary,Lake Balaton,26.4,32,24.1,1,22.3,329
2026-07-10,Hungary,Lake Balaton,28.0,27,28.0,0,9.5,307
2026-07-11,Hungary,Lake Balaton,29.1,37,31.1,0,6.3,336
2026-07-12,Hungary,Lake Balaton,27.1,35,26.0,3,17.4,336
2026-07-13,Hungary,Lake Balaton,28.8,38,27.9,2,21.0,344
2026-07-14,Hungary,Lake Balaton,30.2,38,32.2,1,8.0,188
2026-07-15,Hungary,Lake Balaton,29.3,50,32.3,2,10.9,316
2026-07-16,Hungary,Lake Balaton,26.6,66,30.5,2,10.4,2
2026-07-17,Hungary,Lake Balaton,31.8,41,33.9,3,12.3,201
2026-07-18,Hungary,Lake Balaton,28.8,46,29.3,2,14.4,360
2026-07-19,Hungary,Lake Balaton,28.8,46,32.3,1,1.9,202
