date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Hungary,Pecs,9.7,93,5.0,53,30.2,343
2026-05-17,Hungary,Pecs,9.7,90,4.0,51,35.3,338
2026-05-17,Hungary,Pecs,9.8,89,4.3,53,34.6,340
2026-05-17,Hungary,Pecs,11.4,81,7.8,3,21.6,342
2026-05-18,Hungary,Pecs,17.3,57,16.7,1,1.4,12
2026-05-19,Hungary,Pecs,19.7,50,18.8,0,4.0,329
2026-05-20,Hungary,Pecs,20.7,47,19.3,0,7.6,316
2026-05-21,Hungary,Pecs,21.1,49,18.7,0,16.2,351
2026-05-22,Hungary,Pecs,23.6,36,21.4,0,10.4,355
2026-05-23,Hungary,Pecs,26.5,27,25.5,0,11.9,24
2026-05-24,Hungary,Pecs,27.4,32,27.7,0,9.4,10
2026-05-25,Hungary,Pecs,29.1,39,29.2,0,7.6,348
2026-05-26,Hungary,Pecs,27.1,42,27.3,0,5.0,266
2026-05-27,Hungary,Pecs,25.1,52,24.0,0,18.0,314
2026-05-28,Hungary,Pecs,20.8,29,18.0,0,7.2,7
2026-05-29,Hungary,Pecs,21.3,32,19.1,2,5.4,320
2026-05-30,Hungary,Pecs,27.9,21,24.9,3,10.4,323
2026-05-31,Hungary,Pecs,28.7,34,27.6,2,9.7,291
2026-06-01,Hungary,Pecs,14.6,89,13.8,0,11.2,297
2026-06-02,Hungary,Pecs,20.3,60,20.2,3,5.0,132
2026-06-03,Hungary,Pecs,14.4,92,11.6,3,25.9,343
2026-06-04,Hungary,Pecs,22.5,45,21.5,0,6.8,252
2026-06-05,Hungary,Pecs,21.1,56,19.1,3,17.6,344
2026-06-06,Hungary,Pecs,24.1,45,24.7,2,9.4,220
2026-06-07,Hungary,Pecs,29.2,28,28.0,1,6.1,318
2026-06-08,Hungary,Pecs,26.8,39,25.8,0,10.4,184
2026-06-09,Hungary,Pecs,29.3,30,27.8,1,10.1,164
2026-06-10,Hungary,Pecs,26.9,48,27.6,3,6.5,184
2026-06-11,Hungary,Pecs,15.6,76,14.9,0,7.2,285
2026-06-12,Hungary,Pecs,19.4,56,18.6,0,6.1,302
2026-06-13,Hungary,Pecs,25.4,42,24.1,3,12.2,259
2026-06-14,Hungary,Pecs,28.8,38,30.4,2,9.0,199
2026-06-15,Hungary,Pecs,18.6,73,18.8,0,6.8,156
2026-06-16,Hungary,Pecs,26.3,40,26.6,1,10.4,216
2026-06-17,Hungary,Pecs,28.3,41,28.2,2,13.3,275
2026-06-18,Hungary,Pecs,30.5,32,31.2,2,5.8,351
2026-06-19,Hungary,Pecs,31.0,34,32.2,2,5.4,172
2026-06-20,Hungary,Pecs,33.1,28,34.1,3,11.5,177
2026-06-21,Hungary,Pecs,34.5,26,35.2,1,13.0,228
2026-06-22,Hungary,Pecs,35.3,24,34.4,0,12.6,343
2026-06-23,Hungary,Pecs,31.9,33,32.1,3,6.5,341
2026-06-24,Hungary,Pecs,22.9,75,23.6,61,15.8,71
2026-06-25,Hungary,Pecs,34.7,19,35.6,0,5.0,130
2026-06-26,Hungary,Pecs,36.1,21,36.6,0,10.4,186
2026-06-27,Hungary,Pecs,37.3,20,38.2,0,8.6,176
2026-06-29,Hungary,Pecs,37.5,19,37.2,0,12.2,134
2026-06-30,Hungary,Pecs,39.1,16,39.8,0,7.2,190
2026-07-01,Hungary,Pecs,34.0,37,35.1,0,10.1,217
2026-07-02,Hungary,Pecs,25.8,55,25.8,3,24.5,342
2026-07-03,Hungary,Pecs,30.4,28,29.4,3,10.8,340
2026-07-04,Hungary,Pecs,26.9,26,26.3,0,11.2,330
2026-07-05,Hungary,Pecs,26.8,31,25.4,1,9.7,291
2026-07-06,Hungary,Pecs,27.1,41,27.4,2,11.5,230
2026-07-07,Hungary,Pecs,29.2,41,29.7,3,14.8,250
2026-07-08,Hungary,Pecs,24.9,41,23.5,3,11.5,315
2026-07-09,Hungary,Pecs,27.4,26,26.6,0,12.2,301
2026-07-10,Hungary,Pecs,29.3,23,28.8,0,10.8,273
2026-07-11,Hungary,Pecs,29.7,38,31.1,0,10.1,209
2026-07-12,Hungary,Pecs,27.8,32,29.0,0,4.7,345
2026-07-13,Hungary,Pecs,30.1,29,30.2,1,10.1,322
2026-07-14,Hungary,Pecs,30.4,27,29.2,3,6.8,227
2026-07-15,Hungary,Pecs,32.3,34,34.6,3,6.1,317
2026-07-16,Hungary,Pecs,20.9,88,22.1,63,14.4,17
2026-07-17,Hungary,Pecs,30.5,50,34.5,3,8.6,168
2026-07-18,Hungary,Pecs,23.9,68,23.4,3,22.0,344
2026-07-19,Hungary,Pecs,24.0,78,27.8,0,5.0,219
