date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Hungary,Szeged,14.7,90,14.6,65,6.8,310
2026-05-17,Hungary,Szeged,16.4,73,13.6,3,22.0,311
2026-05-17,Hungary,Szeged,17.6,68,14.7,2,23.4,306
2026-05-17,Hungary,Szeged,16.4,69,13.0,1,25.2,306
2026-05-18,Hungary,Szeged,18.3,47,16.3,0,7.9,295
2026-05-19,Hungary,Szeged,20.8,48,19.4,2,8.6,354
2026-05-20,Hungary,Szeged,22.9,37,20.7,0,10.1,314
2026-05-21,Hungary,Szeged,23.6,45,20.5,3,23.8,329
2026-05-22,Hungary,Szeged,26.8,27,23.2,0,18.0,22
2026-05-23,Hungary,Szeged,28.5,26,27.3,0,14.4,10
2026-05-24,Hungary,Szeged,29.4,19,27.4,0,15.1,21
2026-05-25,Hungary,Szeged,30.9,30,29.8,3,9.7,296
2026-05-26,Hungary,Szeged,29.4,33,28.0,0,12.2,253
