date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,India,Ahmedabad,34.6,31,34.5,0,11.8,277
2026-05-17,India,Ahmedabad,41.5,20,41.6,0,9.2,327
2026-05-17,India,Ahmedabad,41.0,21,41.1,0,8.4,312
2026-05-17,India,Ahmedabad,40.0,22,40.5,0,6.3,297
2026-05-18,India,Ahmedabad,35.5,20,33.9,0,9.3,251
2026-05-19,India,Ahmedabad,32.7,56,36.5,0,9.3,198
2026-05-20,India,Ahmedabad,31.2,72,36.9,95,10.1,209
2026-05-21,India,Ahmedabad,33.2,53,36.8,0,10.4,222
2026-05-22,India,Ahmedabad,32.7,61,37.4,0,9.9,189
2026-05-23,India,Ahmedabad,40.8,23,40.7,0,14.1,259
2026-05-24,India,Ahmedabad,41.5,24,42.0,1,11.9,271
2026-05-25,India,Ahmedabad,33.0,66,38.9,95,9.6,213
2026-05-26,India,Ahmedabad,32.0,69,37.9,95,8.8,197
2026-05-27,India,Ahmedabad,31.8,68,37.3,95,9.3,204
2026-05-28,India,Ahmedabad,33.0,53,36.4,0,11.0,245
2026-05-29,India,Ahmedabad,32.8,58,37.1,0,9.9,275
2026-05-30,India,Ahmedabad,37.2,44,40.3,95,15.3,188
2026-05-31,India,Ahmedabad,33.2,55,36.8,0,12.4,183
2026-06-01,India,Ahmedabad,26.3,91,32.1,1,5.5,203
2026-06-02,India,Ahmedabad,30.1,77,36.2,95,7.7,189
