date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,India,Bangalore,22.9,85,26.1,0,5.3,336
2026-05-17,India,Bangalore,33.2,29,33.0,2,8.2,41
2026-05-17,India,Bangalore,32.3,33,33.0,3,4.0,85
2026-05-17,India,Bangalore,28.4,52,29.4,51,11.3,166
2026-05-18,India,Bangalore,22.9,94,26.5,3,9.0,239
2026-05-19,India,Bangalore,22.1,98,25.7,1,8.2,237
2026-05-20,India,Bangalore,22.8,91,25.5,3,12.4,268
2026-05-21,India,Bangalore,23.2,86,27.0,51,3.2,223
2026-05-22,India,Bangalore,21.2,94,23.4,51,12.2,271
2026-05-23,India,Bangalore,25.9,71,28.2,3,11.6,264
2026-05-24,India,Bangalore,27.8,64,31.0,3,5.5,243
2026-05-25,India,Bangalore,21.8,96,25.2,53,6.9,245
2026-05-26,India,Bangalore,21.4,98,24.8,51,6.5,276
2026-05-27,India,Bangalore,23.0,81,25.5,3,8.3,229
2026-05-28,India,Bangalore,21.4,92,24.1,0,8.1,258
2026-05-29,India,Bangalore,21.5,96,24.5,1,9.5,233
2026-05-30,India,Bangalore,24.6,70,26.6,55,9.7,288
2026-05-31,India,Bangalore,27.0,70,31.0,0,2.3,180
2026-06-01,India,Bangalore,23.1,76,25.4,51,6.3,257
2026-06-02,India,Bangalore,22.0,95,25.3,0,8.1,241
2026-06-03,India,Bangalore,20.5,93,22.2,2,12.0,240
2026-06-04,India,Bangalore,21.7,90,23.6,3,13.5,236
2026-06-05,India,Bangalore,21.8,88,23.6,3,12.8,228
2026-06-06,India,Bangalore,23.7,76,25.3,3,12.1,266
2026-06-07,India,Bangalore,23.7,79,25.8,3,11.0,265
2026-06-08,India,Bangalore,22.2,89,24.1,3,13.5,241
