date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,India,Chennai,29.0,81,35.3,95,5.2,194
2026-05-17,India,Chennai,31.4,69,35.8,95,16.2,150
2026-05-17,India,Chennai,30.8,76,35.8,95,15.9,153
2026-05-17,India,Chennai,30.2,79,35.6,95,14.1,170
2026-05-18,India,Chennai,30.4,79,35.8,95,15.3,198
2026-05-19,India,Chennai,29.4,73,33.5,51,13.6,239
2026-05-20,India,Chennai,33.2,49,35.7,0,12.7,264
2026-05-21,India,Chennai,32.0,76,38.3,95,13.4,198
2026-05-22,India,Chennai,31.2,78,37.5,95,12.4,182
2026-05-23,India,Chennai,37.0,38,39.7,1,10.1,223
2026-05-24,India,Chennai,34.9,57,39.8,0,13.1,159
2026-05-25,India,Chennai,32.5,65,38.0,95,9.1,195
2026-05-26,India,Chennai,30.4,69,34.9,1,11.2,242
2026-05-27,India,Chennai,30.5,74,35.7,95,11.2,180
2026-05-28,India,Chennai,31.0,74,36.6,95,11.5,215
2026-05-29,India,Chennai,30.5,77,36.3,95,10.8,206
2026-05-30,India,Chennai,31.5,68,36.4,95,11.8,149
2026-05-31,India,Chennai,32.3,66,37.6,95,10.3,168
2026-06-01,India,Chennai,28.6,83,33.8,3,12.1,201
2026-06-02,India,Chennai,29.9,73,34.5,0,12.3,211
2026-06-03,India,Chennai,30.8,66,34.8,3,12.4,234
2026-06-04,India,Chennai,30.8,70,35.5,3,12.9,198
2026-06-05,India,Chennai,30.8,70,36.0,3,9.2,249
2026-06-06,India,Chennai,36.1,44,39.3,3,11.5,191
