date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,India,Delhi,30.7,34,30.6,0,6.6,311
2026-05-17,India,Delhi,39.3,21,37.3,0,20.3,296
2026-05-17,India,Delhi,38.5,23,37.3,0,16.1,298
2026-05-17,India,Delhi,36.3,27,35.7,0,13.2,305
2026-05-18,India,Delhi,35.2,23,34.0,0,10.3,286
2026-05-19,India,Delhi,35.0,23,34.6,0,3.8,275
2026-05-20,India,Delhi,33.8,28,33.4,0,8.3,214
2026-05-21,India,Delhi,35.2,22,33.6,0,12.2,243
2026-05-22,India,Delhi,35.0,24,33.9,0,10.5,3
2026-05-23,India,Delhi,39.2,17,36.9,0,15.8,307
2026-05-24,India,Delhi,42.2,13,40.2,0,9.5,284
2026-05-25,India,Delhi,36.1,20,33.8,0,14.3,349
2026-05-26,India,Delhi,33.5,23,32.8,0,3.9,304
2026-05-27,India,Delhi,34.3,27,34.7,0,3.1,260
2026-05-28,India,Delhi,32.3,56,37.0,0,4.2,110
2026-05-29,India,Delhi,28.8,59,31.5,0,7.4,124
2026-05-30,India,Delhi,26.0,78,29.9,3,6.5,76
2026-05-31,India,Delhi,27.1,63,30.1,0,4.7,62
2026-06-01,India,Delhi,26.2,68,28.7,0,8.5,73
2026-06-02,India,Delhi,29.6,58,33.2,0,4.0,90
2026-06-03,India,Delhi,31.8,52,35.7,0,1.6,90
2026-06-04,India,Delhi,32.2,50,35.3,1,6.3,90
2026-06-05,India,Delhi,29.3,68,34.0,0,5.1,84
2026-06-06,India,Delhi,37.0,28,37.3,0,11.5,280
2026-06-07,India,Delhi,35.7,36,38.1,0,3.7,215
2026-06-08,India,Delhi,32.7,34,33.9,0,2.8,40
2026-06-09,India,Delhi,34.6,30,34.8,0,8.3,231
2026-06-10,India,Delhi,34.9,42,38.2,0,3.7,129
2026-06-11,India,Delhi,27.6,75,30.5,0,16.3,132
2026-06-12,India,Delhi,26.7,82,31.5,3,6.7,70
2026-06-13,India,Delhi,29.0,73,33.9,0,6.2,60
2026-06-14,India,Delhi,36.9,35,38.5,0,11.2,296
2026-06-15,India,Delhi,31.1,64,36.7,0,0.7,14
2026-06-16,India,Delhi,34.6,42,37.6,0,5.0,339
2026-06-17,India,Delhi,35.2,41,37.9,0,7.3,306
2026-06-18,India,Delhi,37.9,32,39.4,0,11.0,304
2026-06-19,India,Delhi,35.9,40,38.2,0,10.4,284
2026-06-20,India,Delhi,38.3,33,39.7,0,13.8,291
2026-06-21,India,Delhi,36.3,35,38.0,51,9.7,301
2026-06-22,India,Delhi,32.8,43,34.4,3,11.5,262
2026-06-23,India,Delhi,37.6,29,37.6,0,15.2,297
2026-06-24,India,Delhi,37.7,31,38.9,0,9.7,299
2026-06-25,India,Delhi,37.1,37,39.6,1,8.7,304
2026-06-26,India,Delhi,39.3,32,41.7,0,8.1,283
2026-06-27,India,Delhi,39.5,29,40.6,0,13.0,289
2026-06-29,India,Delhi,37.3,41,40.9,0,7.4,326
2026-06-30,India,Delhi,39.9,32,42.6,1,8.2,292
2026-07-01,India,Delhi,36.1,44,40.0,1,6.4,45
2026-07-02,India,Delhi,33.3,58,38.9,0,2.5,300
2026-07-03,India,Delhi,37.2,41,41.2,3,5.8,164
2026-07-04,India,Delhi,32.2,70,38.8,3,4.7,23
2026-07-05,India,Delhi,37.1,49,43.0,1,2.8,315
2026-07-06,India,Delhi,34.6,60,41.5,2,2.1,38
2026-07-07,India,Delhi,32.9,68,39.3,3,8.0,74
2026-07-08,India,Delhi,30.2,74,35.6,3,9.2,21
2026-07-09,India,Delhi,26.1,94,31.2,53,11.3,347
2026-07-10,India,Delhi,33.2,57,37.8,1,8.1,336
