date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,India,Hyderabad,29.8,57,33.0,0,5.2,178
2026-05-17,India,Hyderabad,35.0,38,37.2,0,6.7,99
2026-05-17,India,Hyderabad,34.7,41,37.4,1,6.0,93
2026-05-17,India,Hyderabad,33.0,45,35.7,1,6.8,127
2026-05-18,India,Hyderabad,31.9,43,33.5,1,7.7,139
2026-05-19,India,Hyderabad,32.8,45,35.8,0,3.5,261
2026-05-20,India,Hyderabad,31.8,45,33.4,2,10.4,250
2026-05-21,India,Hyderabad,33.0,40,34.5,3,9.0,237
2026-05-22,India,Hyderabad,31.9,51,34.1,0,12.6,260
2026-05-23,India,Hyderabad,37.3,27,37.3,2,11.7,343
2026-05-24,India,Hyderabad,37.2,24,36.5,0,12.7,322
2026-05-25,India,Hyderabad,31.0,53,33.8,0,8.2,244
