date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,India,Jaipur,31.1,30,30.5,0,7.8,32
2026-05-17,India,Jaipur,40.2,14,37.2,0,16.0,289
2026-05-17,India,Jaipur,39.8,14,36.9,0,15.4,277
2026-05-17,India,Jaipur,37.9,17,36.2,0,8.5,282
2026-05-18,India,Jaipur,36.0,18,33.6,0,13.9,266
2026-05-19,India,Jaipur,34.7,19,33.1,0,6.7,254
2026-05-20,India,Jaipur,33.4,26,31.8,0,13.8,242
2026-05-21,India,Jaipur,33.8,17,30.9,0,12.1,266
2026-05-22,India,Jaipur,34.5,21,32.5,0,11.6,275
2026-05-23,India,Jaipur,40.3,14,36.9,1,19.6,285
2026-05-24,India,Jaipur,40.8,12,36.9,0,19.3,254
2026-05-25,India,Jaipur,35.5,31,35.5,0,13.9,264
2026-05-26,India,Jaipur,35.1,22,33.4,0,12.9,258
2026-05-27,India,Jaipur,35.8,26,34.5,0,14.9,255
2026-05-28,India,Jaipur,25.6,77,28.9,1,9.2,145
2026-05-29,India,Jaipur,27.0,69,29.5,0,12.5,106
2026-05-30,India,Jaipur,34.7,27,34.1,0,10.4,111
2026-05-31,India,Jaipur,30.2,51,32.5,2,7.7,267
2026-06-01,India,Jaipur,25.5,80,29.8,0,2.8,225
2026-06-02,India,Jaipur,28.0,58,30.6,0,4.5,185
2026-06-03,India,Jaipur,29.6,46,31.2,0,5.2,92
2026-06-04,India,Jaipur,25.3,82,29.0,51,8.2,299
2026-06-05,India,Jaipur,28.3,56,30.8,0,4.9,184
2026-06-06,India,Jaipur,33.7,38,35.9,1,3.4,302
2026-06-07,India,Jaipur,32.6,49,36.0,0,5.5,169
2026-06-08,India,Jaipur,32.8,32,32.4,0,11.6,264
2026-06-09,India,Jaipur,34.1,34,34.1,0,13.9,273
2026-06-10,India,Jaipur,33.4,46,35.7,0,11.4,258
2026-06-11,India,Jaipur,33.4,44,35.0,0,13.4,101
2026-06-12,India,Jaipur,23.5,88,26.3,1,11.9,70
2026-06-13,India,Jaipur,28.7,69,33.4,0,2.7,312
2026-06-14,India,Jaipur,30.8,50,32.5,53,11.9,256
2026-06-15,India,Jaipur,31.1,58,35.8,0,0.9,233
2026-06-16,India,Jaipur,34.2,43,37.4,0,3.6,276
2026-06-17,India,Jaipur,34.4,38,36.0,0,9.4,259
2026-06-18,India,Jaipur,34.1,43,36.4,0,9.0,267
2026-06-19,India,Jaipur,33.9,39,36.0,0,5.0,289
2026-06-20,India,Jaipur,34.2,42,36.1,0,10.7,279
2026-06-21,India,Jaipur,35.2,40,37.6,2,7.6,262
2026-06-22,India,Jaipur,31.1,49,33.3,0,7.7,351
2026-06-23,India,Jaipur,36.7,31,37.2,2,11.6,263
2026-06-24,India,Jaipur,34.7,35,36.4,0,4.7,293
2026-06-25,India,Jaipur,35.9,37,38.4,1,5.1,278
2026-06-26,India,Jaipur,36.5,36,39.3,51,4.6,261
