date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,India,Kolkata,28.3,89,34.0,95,12.9,207
2026-05-17,India,Kolkata,29.2,87,35.8,95,10.4,189
2026-05-17,India,Kolkata,29.2,86,35.5,95,11.2,192
2026-05-17,India,Kolkata,29.2,86,34.9,95,15.3,189
2026-05-18,India,Kolkata,29.0,89,35.4,95,12.5,173
2026-05-19,India,Kolkata,29.1,91,36.3,95,8.5,144
2026-05-20,India,Kolkata,29.5,91,37.1,95,7.1,159
2026-05-21,India,Kolkata,29.6,90,36.9,95,9.6,160
2026-05-22,India,Kolkata,29.5,88,36.2,95,11.8,169
2026-05-23,India,Kolkata,32.3,73,38.5,95,12.4,214
2026-05-24,India,Kolkata,32.5,72,38.4,95,13.9,210
2026-05-25,India,Kolkata,29.6,85,35.5,95,14.4,183
2026-05-26,India,Kolkata,29.4,87,35.6,95,12.6,177
2026-05-27,India,Kolkata,26.5,96,32.8,95,7.0,87
2026-05-28,India,Kolkata,27.6,85,33.3,95,7.2,167
2026-05-29,India,Kolkata,26.3,92,32.8,0,1.2,297
2026-05-30,India,Kolkata,27.5,86,33.6,0,3.5,152
2026-05-31,India,Kolkata,29.6,79,35.9,3,5.8,180
2026-06-01,India,Kolkata,28.1,87,34.7,95,4.9,182
2026-06-02,India,Kolkata,29.1,85,35.8,95,7.2,194
2026-06-03,India,Kolkata,29.7,91,37.8,95,5.9,191
2026-06-04,India,Kolkata,29.1,90,36.3,95,7.5,159
2026-06-05,India,Kolkata,29.3,87,36.6,95,4.6,162
2026-06-06,India,Kolkata,29.0,93,36.5,95,8.4,135
2026-06-07,India,Kolkata,28.7,90,35.5,95,8.0,200
2026-06-08,India,Kolkata,28.6,92,35.8,95,7.2,155
2026-06-09,India,Kolkata,28.7,88,34.9,95,10.7,158
2026-06-10,India,Kolkata,28.3,92,35.1,95,8.2,151
2026-06-11,India,Kolkata,26.8,94,33.0,3,6.6,145
2026-06-12,India,Kolkata,28.7,87,35.4,3,5.8,175
2026-06-13,India,Kolkata,28.4,93,35.5,95,7.2,166
2026-06-14,India,Kolkata,31.6,70,36.7,3,13.4,197
2026-06-15,India,Kolkata,29.9,83,36.4,95,9.0,181
2026-06-16,India,Kolkata,31.6,72,37.3,95,11.3,188
2026-06-17,India,Kolkata,32.4,72,38.9,95,9.4,181
2026-06-18,India,Kolkata,30.1,84,36.8,95,9.5,190
2026-06-19,India,Kolkata,27.2,87,32.5,2,9.0,179
2026-06-20,India,Kolkata,30.8,76,36.6,95,11.5,210
2026-06-21,India,Kolkata,29.7,85,35.9,95,11.8,186
2026-06-22,India,Kolkata,27.7,93,34.4,95,6.8,178
2026-06-23,India,Kolkata,29.8,83,36.6,95,7.1,207
2026-06-24,India,Kolkata,31.5,76,38.1,95,9.0,186
2026-06-25,India,Kolkata,30.6,82,37.8,95,6.9,200
2026-06-26,India,Kolkata,32.0,70,38.2,95,7.2,184
2026-06-27,India,Kolkata,31.2,77,37.5,95,10.3,184
2026-06-29,India,Kolkata,28.4,92,35.3,3,7.2,184
2026-06-30,India,Kolkata,27.8,93,35.1,55,3.6,174
2026-07-01,India,Kolkata,27.8,93,34.5,80,7.6,118
2026-07-02,India,Kolkata,30.7,77,37.3,51,5.9,149
2026-07-03,India,Kolkata,30.6,79,37.6,95,5.3,135
2026-07-04,India,Kolkata,30.3,79,36.3,95,11.2,95
2026-07-05,India,Kolkata,28.2,90,34.2,95,11.1,127
2026-07-06,India,Kolkata,29.7,80,34.6,2,15.7,176
2026-07-07,India,Kolkata,29.8,83,36.2,3,10.2,194
2026-07-08,India,Kolkata,29.7,83,35.4,53,14.5,199
2026-07-09,India,Kolkata,28.8,87,34.7,95,12.2,211
2026-07-10,India,Kolkata,28.3,91,34.7,95,9.9,209
2026-07-11,India,Kolkata,32.4,74,39.1,95,9.8,235
2026-07-12,India,Kolkata,32.3,73,39.2,51,7.6,208
2026-07-13,India,Kolkata,29.0,90,36.4,95,5.6,264
2026-07-14,India,Kolkata,26.9,95,33.5,96,5.4,96
2026-07-15,India,Kolkata,28.0,91,34.6,51,7.5,37
2026-07-16,India,Kolkata,31.4,72,36.9,51,12.4,152
2026-07-17,India,Kolkata,30.1,80,35.9,95,12.0,197
2026-07-18,India,Kolkata,31.0,76,36.6,53,12.7,174
2026-07-19,India,Kolkata,30.4,77,36.4,3,8.9,162
2026-07-20,India,Kolkata,27.4,93,33.8,95,7.7,143
2026-07-21,India,Kolkata,27.0,90,32.4,55,9.7,153
2026-07-22,India,Kolkata,27.5,89,33.1,53,10.4,201
