date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,India,Mumbai,29.1,81,34.9,95,9.1,321
2026-05-17,India,Mumbai,31.6,70,36.4,95,16.4,306
2026-05-17,India,Mumbai,31.1,71,36.0,95,14.3,309
2026-05-17,India,Mumbai,30.1,78,36.2,95,8.2,292
2026-05-18,India,Mumbai,29.2,83,36.0,95,5.1,312
2026-05-19,India,Mumbai,29.2,75,34.3,1,8.0,256
2026-05-20,India,Mumbai,29.8,72,34.8,0,8.4,228
2026-05-21,India,Mumbai,30.0,76,35.9,0,7.0,252
2026-05-22,India,Mumbai,30.4,73,36.2,2,7.0,193
2026-05-23,India,Mumbai,31.8,69,37.7,95,7.6,285
2026-05-24,India,Mumbai,31.7,69,37.0,1,11.7,284
2026-05-25,India,Mumbai,30.1,76,35.9,95,8.6,258
2026-05-26,India,Mumbai,30.5,71,35.7,1,9.8,239
