date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Indonesia,Bali,22.0,88,25.6,51,1.7,347
2026-05-17,Indonesia,Bali,22.0,99,26.3,3,4.5,256
2026-05-17,Indonesia,Bali,22.0,99,26.3,51,2.9,274
2026-05-17,Indonesia,Bali,21.6,99,25.6,53,3.9,196
2026-05-18,Indonesia,Bali,21.5,94,25.1,51,4.1,23
2026-05-19,Indonesia,Bali,22.1,89,25.8,0,1.5,353
2026-05-20,Indonesia,Bali,21.2,93,24.6,2,4.0,360
2026-05-21,Indonesia,Bali,22.8,89,26.9,1,1.6,333
2026-05-22,Indonesia,Bali,22.1,91,25.7,2,3.8,8
2026-05-23,Indonesia,Bali,22.2,93,25.5,1,7.9,43
2026-05-24,Indonesia,Bali,22.3,92,25.6,3,7.0,89
2026-05-25,Indonesia,Bali,22.0,91,25.5,3,3.4,25
2026-05-26,Indonesia,Bali,20.6,94,23.4,2,6.4,38
2026-05-27,Indonesia,Bali,20.3,90,23.2,1,2.4,27
2026-05-28,Indonesia,Bali,18.6,80,19.4,3,6.7,8
2026-05-29,Indonesia,Bali,18.5,79,19.3,2,6.2,8
2026-05-30,Indonesia,Bali,19.7,67,19.9,3,6.0,27
2026-05-31,Indonesia,Bali,19.9,91,22.1,3,5.9,35
2026-06-01,Indonesia,Bali,20.0,88,21.8,2,7.2,35
2026-06-02,Indonesia,Bali,19.8,84,21.4,1,5.5,9
2026-06-03,Indonesia,Bali,19.9,87,21.8,1,5.3,10
2026-06-04,Indonesia,Bali,21.8,93,25.2,2,5.0,41
2026-06-05,Indonesia,Bali,18.8,80,20.3,0,1.6,360
2026-06-06,Indonesia,Bali,20.2,90,22.0,2,8.9,50
2026-06-07,Indonesia,Bali,20.2,90,22.5,2,6.0,25
2026-06-08,Indonesia,Bali,20.3,91,23.0,3,3.2,19
2026-06-09,Indonesia,Bali,20.3,94,23.3,3,3.8,45
2026-06-10,Indonesia,Bali,18.4,95,20.8,2,2.0,355
2026-06-11,Indonesia,Bali,21.0,86,23.9,2,1.5,346
2026-06-12,Indonesia,Bali,21.0,94,24.0,2,5.9,40
2026-06-13,Indonesia,Bali,21.8,90,25.0,3,4.0,360
2026-06-14,Indonesia,Bali,21.7,96,25.3,1,4.6,77
2026-06-15,Indonesia,Bali,20.3,85,22.0,1,6.7,38
2026-06-16,Indonesia,Bali,20.7,93,23.7,2,4.4,7
2026-06-17,Indonesia,Bali,21.2,93,24.2,1,6.0,9
2026-06-18,Indonesia,Bali,21.2,93,23.9,1,7.5,33
2026-06-19,Indonesia,Bali,21.2,93,24.0,3,6.8,78
2026-06-20,Indonesia,Bali,21.8,94,25.0,1,6.9,99
2026-06-21,Indonesia,Bali,21.8,97,26.1,2,1.9,119
2026-06-22,Indonesia,Bali,21.4,92,24.6,1,5.0,35
2026-06-23,Indonesia,Bali,21.5,95,24.8,2,6.1,43
2026-06-24,Indonesia,Bali,21.5,97,24.8,3,6.4,74
2026-06-25,Indonesia,Bali,21.5,92,24.4,3,7.1,38
2026-06-26,Indonesia,Bali,22.1,98,26.0,51,6.1,104
2026-06-27,Indonesia,Bali,21.4,97,24.8,2,6.3,108
