date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Indonesia,Bandung,21.7,93,25.5,3,2.4,351
2026-05-17,Indonesia,Bandung,24.0,84,28.3,3,1.3,45
2026-05-17,Indonesia,Bandung,24.0,80,27.6,2,3.5,62
2026-05-17,Indonesia,Bandung,22.8,84,25.8,2,6.1,66
2026-05-18,Indonesia,Bandung,22.5,93,26.9,3,1.5,240
2026-05-19,Indonesia,Bandung,20.6,100,24.3,3,2.9,43
2026-05-20,Indonesia,Bandung,21.1,99,25.3,51,0.8,27
2026-05-21,Indonesia,Bandung,22.1,93,26.3,2,0.9,53
2026-05-22,Indonesia,Bandung,22.1,88,25.6,2,2.9,83
2026-05-23,Indonesia,Bandung,22.5,92,27.0,3,0.0,270
2026-05-24,Indonesia,Bandung,21.8,96,26.0,51,1.3,146
2026-05-25,Indonesia,Bandung,20.8,96,24.6,51,0.7,76
2026-05-26,Indonesia,Bandung,20.1,99,23.5,2,3.1,149
2026-05-27,Indonesia,Bandung,18.4,98,20.8,1,3.4,32
2026-05-28,Indonesia,Bandung,18.3,99,20.5,3,5.6,25
2026-05-29,Indonesia,Bandung,19.8,100,22.9,0,4.4,60
2026-05-30,Indonesia,Bandung,23.6,79,27.1,0,1.9,131
2026-05-31,Indonesia,Bandung,23.3,83,26.8,3,3.6,147
2026-06-01,Indonesia,Bandung,19.5,99,22.5,3,4.6,39
2026-06-02,Indonesia,Bandung,22.2,87,25.7,1,2.7,118
2026-06-03,Indonesia,Bandung,21.0,90,24.0,2,3.9,34
2026-06-04,Indonesia,Bandung,22.2,87,24.8,3,7.6,63
2026-06-05,Indonesia,Bandung,21.5,98,25.5,2,3.0,33
2026-06-06,Indonesia,Bandung,25.5,66,28.2,3,3.1,111
2026-06-07,Indonesia,Bandung,22.3,80,24.9,0,3.9,77
2026-06-08,Indonesia,Bandung,19.1,99,21.6,3,5.9,47
2026-06-09,Indonesia,Bandung,20.1,91,22.7,2,3.5,39
2026-06-10,Indonesia,Bandung,18.3,99,20.6,3,4.7,23
2026-06-11,Indonesia,Bandung,18.9,100,22.1,3,0.6,18
2026-06-12,Indonesia,Bandung,21.9,87,25.2,2,2.0,27
2026-06-13,Indonesia,Bandung,22.2,85,25.3,3,3.4,65
2026-06-14,Indonesia,Bandung,25.5,71,29.0,1,1.7,319
2026-06-15,Indonesia,Bandung,23.3,83,26.8,1,2.5,249
2026-06-16,Indonesia,Bandung,24.0,67,26.4,2,1.2,27
2026-06-17,Indonesia,Bandung,24.3,77,27.6,0,3.6,210
2026-06-18,Indonesia,Bandung,24.5,73,27.4,1,4.9,176
2026-06-19,Indonesia,Bandung,24.5,75,27.5,51,5.6,205
2026-06-20,Indonesia,Bandung,25.8,66,28.2,0,6.7,265
2026-06-21,Indonesia,Bandung,24.5,77,27.6,1,5.5,253
2026-06-22,Indonesia,Bandung,22.9,86,26.3,53,4.6,249
2026-06-23,Indonesia,Bandung,23.0,81,26.6,3,0.6,162
2026-06-24,Indonesia,Bandung,24.6,76,27.7,1,5.2,245
2026-06-25,Indonesia,Bandung,23.6,75,26.2,3,5.2,88
2026-06-26,Indonesia,Bandung,24.9,76,28.0,0,5.8,210
2026-06-27,Indonesia,Bandung,25.6,66,28.3,1,3.9,248
2026-06-29,Indonesia,Bandung,26.2,40,25.8,2,5.7,66
2026-06-30,Indonesia,Bandung,26.0,52,27.5,0,2.0,170
2026-07-01,Indonesia,Bandung,25.6,50,26.2,0,5.6,207
2026-07-02,Indonesia,Bandung,25.7,61,27.5,1,5.4,220
2026-07-03,Indonesia,Bandung,25.9,64,28.4,0,3.8,172
2026-07-04,Indonesia,Bandung,26.4,61,28.8,1,4.1,128
