date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Indonesia,Jakarta,24.2,98,29.9,51,2.2,185
2026-05-17,Indonesia,Jakarta,27.0,87,32.3,3,7.6,265
2026-05-17,Indonesia,Jakarta,26.6,85,32.1,2,4.0,273
2026-05-17,Indonesia,Jakarta,27.5,84,33.1,0,6.0,147
2026-05-18,Indonesia,Jakarta,26.2,90,32.0,3,3.6,198
2026-05-19,Indonesia,Jakarta,26.3,90,32.1,2,4.7,113
2026-05-20,Indonesia,Jakarta,26.5,90,32.5,1,3.7,133
2026-05-21,Indonesia,Jakarta,26.7,88,32.4,3,4.9,272
2026-05-22,Indonesia,Jakarta,26.9,86,32.4,3,4.9,86
2026-05-23,Indonesia,Jakarta,25.7,94,31.9,53,2.3,225
2026-05-24,Indonesia,Jakarta,26.1,92,32.5,51,1.3,278
2026-05-25,Indonesia,Jakarta,25.3,92,30.4,3,6.7,160
2026-05-26,Indonesia,Jakarta,24.5,92,29.2,3,5.4,96
2026-05-27,Indonesia,Jakarta,25.9,89,31.3,1,4.1,193
2026-05-28,Indonesia,Jakarta,25.5,80,29.6,0,5.6,153
2026-05-29,Indonesia,Jakarta,25.7,86,31.0,1,2.1,211
2026-05-30,Indonesia,Jakarta,29.2,67,33.8,0,4.5,130
2026-05-31,Indonesia,Jakarta,26.6,84,32.1,3,3.3,225
2026-06-01,Indonesia,Jakarta,25.0,89,30.1,3,3.4,164
2026-06-02,Indonesia,Jakarta,26.0,83,30.8,1,4.3,138
2026-06-03,Indonesia,Jakarta,26.6,86,32.5,1,2.6,205
2026-06-04,Indonesia,Jakarta,27.7,83,33.9,3,2.0,207
2026-06-05,Indonesia,Jakarta,28.0,76,33.2,2,3.9,133
2026-06-06,Indonesia,Jakarta,30.0,58,33.0,2,8.7,77
2026-06-07,Indonesia,Jakarta,29.2,65,33.7,1,2.8,125
2026-06-08,Indonesia,Jakarta,28.5,71,32.9,1,5.3,147
