date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Indonesia,Medan,24.7,98,30.6,3,2.8,220
2026-05-17,Indonesia,Medan,25.2,96,30.3,80,9.9,245
2026-05-17,Indonesia,Medan,25.1,100,31.0,1,7.0,271
2026-05-17,Indonesia,Medan,26.9,92,32.6,3,8.6,221
2026-05-18,Indonesia,Medan,24.6,99,30.2,3,4.7,230
2026-05-19,Indonesia,Medan,25.2,97,31.4,3,2.5,180
2026-05-20,Indonesia,Medan,24.9,96,30.4,3,4.9,152
2026-05-21,Indonesia,Medan,26.8,93,33.3,3,3.6,135
2026-05-22,Indonesia,Medan,25.5,96,31.7,51,2.9,191
2026-05-23,Indonesia,Medan,27.8,77,32.6,3,6.4,234
2026-05-24,Indonesia,Medan,27.4,92,33.9,3,5.7,139
2026-05-25,Indonesia,Medan,25.5,94,31.0,3,6.8,312
2026-05-26,Indonesia,Medan,25.0,97,31.1,3,1.6,180
2026-05-27,Indonesia,Medan,24.5,98,29.9,3,5.2,155
2026-05-28,Indonesia,Medan,24.8,98,30.8,2,2.4,103
2026-05-29,Indonesia,Medan,24.0,94,28.5,51,6.9,187
2026-05-30,Indonesia,Medan,28.0,87,35.0,95,0.6,146
2026-05-31,Indonesia,Medan,25.7,97,32.2,80,2.3,252
2026-06-01,Indonesia,Medan,25.2,98,31.3,3,4.0,198
2026-06-02,Indonesia,Medan,24.6,100,30.7,3,2.6,219
2026-06-03,Indonesia,Medan,25.0,97,31.3,3,1.3,146
2026-06-04,Indonesia,Medan,25.1,98,31.1,3,3.1,204
2026-06-05,Indonesia,Medan,25.2,96,30.8,3,5.2,186
2026-06-06,Indonesia,Medan,27.2,92,33.4,95,7.2,257
2026-06-07,Indonesia,Medan,24.6,96,29.7,3,6.9,285
2026-06-08,Indonesia,Medan,24.6,95,30.3,2,1.8,114
2026-06-09,Indonesia,Medan,25.6,93,31.3,3,4.3,163
2026-06-10,Indonesia,Medan,25.9,93,31.8,3,4.3,156
2026-06-11,Indonesia,Medan,24.9,98,30.5,3,5.9,140
2026-06-12,Indonesia,Medan,25.4,95,31.5,3,1.9,229
2026-06-13,Indonesia,Medan,26.9,92,33.1,2,5.3,237
2026-06-14,Indonesia,Medan,26.6,90,32.6,53,3.4,148
2026-06-15,Indonesia,Medan,26.2,88,31.6,3,5.5,251
2026-06-16,Indonesia,Medan,24.8,95,30.3,95,3.4,245
2026-06-17,Indonesia,Medan,26.1,91,31.5,53,6.2,201
2026-06-18,Indonesia,Medan,25.2,97,31.0,3,4.4,212
2026-06-19,Indonesia,Medan,25.2,95,31.0,3,3.0,107
2026-06-20,Indonesia,Medan,26.0,90,32.0,3,1.0,59
2026-06-21,Indonesia,Medan,25.7,91,31.0,51,6.2,221
2026-06-22,Indonesia,Medan,24.6,96,29.9,3,4.4,249
2026-06-23,Indonesia,Medan,27.3,86,33.6,51,1.6,186
2026-06-24,Indonesia,Medan,28.1,82,33.6,3,7.2,87
2026-06-25,Indonesia,Medan,25.8,94,31.3,3,6.9,255
2026-06-26,Indonesia,Medan,28.2,84,34.9,2,0.9,191
2026-06-27,Indonesia,Medan,28.5,77,34.2,55,2.5,352
2026-06-29,Indonesia,Medan,25.2,97,30.6,2,6.9,143
2026-06-30,Indonesia,Medan,26.7,90,33.1,95,1.7,18
2026-07-01,Indonesia,Medan,25.3,95,31.1,81,2.9,223
2026-07-02,Indonesia,Medan,27.2,87,33.2,3,4.7,223
2026-07-03,Indonesia,Medan,29.9,74,36.0,3,2.7,352
2026-07-04,Indonesia,Medan,26.5,89,32.1,55,5.2,241
2026-07-05,Indonesia,Medan,28.5,80,34.3,51,4.9,182
2026-07-06,Indonesia,Medan,28.2,88,34.8,1,5.2,92
2026-07-07,Indonesia,Medan,27.4,89,34.1,55,1.8,143
2026-07-08,Indonesia,Medan,29.1,77,34.8,2,5.1,27
2026-07-09,Indonesia,Medan,28.4,85,34.8,2,4.0,36
2026-07-10,Indonesia,Medan,28.3,77,33.6,3,5.0,69
2026-07-11,Indonesia,Medan,30.1,71,35.4,51,5.8,30
2026-07-12,Indonesia,Medan,30.0,76,35.5,2,9.9,81
2026-07-13,Indonesia,Medan,25.9,94,32.2,95,1.9,29
2026-07-14,Indonesia,Medan,30.6,72,36.4,3,5.9,45
2026-07-15,Indonesia,Medan,30.5,71,36.2,3,6.3,27
2026-07-16,Indonesia,Medan,29.7,75,35.4,3,6.5,42
