date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Ireland,Cork,11.7,62,8.1,0,15.8,298
2026-05-17,Ireland,Cork,12.5,67,9.8,51,12.6,250
2026-05-17,Ireland,Cork,10.5,79,6.6,55,21.6,276
2026-05-17,Ireland,Cork,12.1,74,9.3,51,15.5,263
2026-05-18,Ireland,Cork,11.5,96,8.9,61,19.4,156
2026-05-19,Ireland,Cork,13.5,77,10.2,51,22.0,240
2026-05-20,Ireland,Cork,15.4,80,13.7,3,15.8,192
2026-05-21,Ireland,Cork,14.5,82,12.1,3,19.4,151
2026-05-22,Ireland,Cork,15.3,81,14.0,51,13.7,209
2026-05-23,Ireland,Cork,18.6,51,17.4,0,15.5,218
2026-05-24,Ireland,Cork,19.4,55,19.7,0,10.4,164
2026-05-25,Ireland,Cork,25.2,56,25.6,0,10.8,122
2026-05-26,Ireland,Cork,26.5,53,27.0,0,11.2,118
2026-05-27,Ireland,Cork,22.1,63,21.1,1,17.6,108
2026-05-28,Ireland,Cork,16.6,79,15.0,3,16.9,220
2026-05-29,Ireland,Cork,18.0,61,15.5,2,17.6,218
2026-05-30,Ireland,Cork,15.1,96,14.2,3,16.2,203
2026-05-31,Ireland,Cork,18.5,64,16.9,3,14.8,230
2026-06-01,Ireland,Cork,14.6,87,13.2,3,15.1,235
2026-06-02,Ireland,Cork,14.5,76,13.4,3,8.3,284
2026-06-03,Ireland,Cork,13.3,86,10.8,3,19.8,248
2026-06-04,Ireland,Cork,12.4,75,8.3,3,24.8,297
2026-06-05,Ireland,Cork,13.0,79,9.7,51,21.2,148
2026-06-06,Ireland,Cork,14.8,62,11.2,3,27.4,291
2026-06-07,Ireland,Cork,14.9,89,12.7,53,22.3,218
2026-06-08,Ireland,Cork,14.2,61,10.3,3,20.9,250
2026-06-09,Ireland,Cork,14.5,57,11.7,3,13.0,284
2026-06-10,Ireland,Cork,14.5,64,12.0,3,13.3,258
2026-06-11,Ireland,Cork,16.3,87,15.2,3,16.6,258
2026-06-12,Ireland,Cork,18.8,49,15.4,0,19.8,291
2026-06-13,Ireland,Cork,22.2,46,22.3,2,5.8,288
2026-06-14,Ireland,Cork,17.8,64,16.1,3,19.1,107
2026-06-15,Ireland,Cork,19.1,71,18.8,3,10.8,254
2026-06-16,Ireland,Cork,18.9,60,17.0,3,15.5,208
2026-06-17,Ireland,Cork,20.1,49,18.2,2,15.5,231
2026-06-18,Ireland,Cork,16.6,96,16.2,51,16.9,197
2026-06-19,Ireland,Cork,16.8,81,16.7,2,12.6,228
2026-06-20,Ireland,Cork,17.6,51,16.6,2,3.6,310
