date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Ireland,Dublin,11.4,70,8.1,2,15.8,300
2026-05-17,Ireland,Dublin,10.7,80,9.0,61,8.6,240
2026-05-17,Ireland,Dublin,11.1,84,9.9,53,6.1,225
2026-05-17,Ireland,Dublin,11.9,67,8.5,51,16.6,256
2026-05-18,Ireland,Dublin,11.7,80,8.8,51,16.6,154
2026-05-19,Ireland,Dublin,14.3,76,11.4,51,20.5,219
2026-05-20,Ireland,Dublin,17.0,66,15.0,3,14.8,224
2026-05-21,Ireland,Dublin,19.1,54,17.5,2,10.1,159
2026-05-22,Ireland,Dublin,19.4,57,17.3,3,15.8,221
2026-05-23,Ireland,Dublin,19.6,42,18.4,0,11.9,244
2026-05-24,Ireland,Dublin,20.1,48,19.7,0,11.5,100
2026-05-25,Ireland,Dublin,22.6,53,21.7,1,11.5,81
2026-05-26,Ireland,Dublin,20.3,59,19.4,0,10.1,92
2026-05-27,Ireland,Dublin,20.2,62,19.5,3,10.4,84
2026-05-28,Ireland,Dublin,18.9,65,16.2,3,23.0,226
2026-05-29,Ireland,Dublin,21.9,41,19.8,2,10.8,269
2026-05-30,Ireland,Dublin,18.9,64,17.3,51,15.1,233
2026-05-31,Ireland,Dublin,18.5,57,16.4,2,13.7,253
2026-06-01,Ireland,Dublin,15.8,91,16.1,55,7.6,245
2026-06-02,Ireland,Dublin,15.0,77,12.9,2,16.6,266
2026-06-03,Ireland,Dublin,14.1,78,11.1,3,21.2,233
2026-06-04,Ireland,Dublin,14.4,73,11.2,51,21.6,282
2026-06-05,Ireland,Dublin,15.5,50,12.2,3,14.4,181
2026-06-06,Ireland,Dublin,14.0,88,14.0,3,4.3,125
2026-06-07,Ireland,Dublin,15.4,87,14.0,55,16.9,208
2026-06-08,Ireland,Dublin,14.7,59,11.3,3,18.0,258
2026-06-09,Ireland,Dublin,13.2,69,10.0,55,17.6,279
2026-06-10,Ireland,Dublin,13.9,71,11.8,2,11.9,265
2026-06-11,Ireland,Dublin,16.9,77,14.6,3,21.6,264
2026-06-12,Ireland,Dublin,17.0,53,12.7,2,25.2,272
2026-06-13,Ireland,Dublin,19.5,43,16.3,3,16.2,291
2026-06-14,Ireland,Dublin,15.3,63,14.4,1,12.6,101
2026-06-15,Ireland,Dublin,18.0,66,16.2,3,15.5,105
2026-06-16,Ireland,Dublin,21.8,46,19.4,3,16.2,219
2026-06-17,Ireland,Dublin,19.9,49,17.8,2,12.2,244
2026-06-18,Ireland,Dublin,20.1,78,20.8,1,18.0,215
2026-06-19,Ireland,Dublin,18.2,87,18.3,51,13.7,245
2026-06-20,Ireland,Dublin,18.2,50,17.3,2,8.6,268
2026-06-21,Ireland,Dublin,18.3,58,17.9,0,13.3,105
2026-06-22,Ireland,Dublin,21.9,59,21.5,3,12.2,88
2026-06-23,Ireland,Dublin,25.7,59,27.8,2,3.2,53
2026-06-24,Ireland,Dublin,19.5,76,20.5,1,10.4,108
2026-06-25,Ireland,Dublin,24.1,62,25.6,0,15.1,99
2026-06-26,Ireland,Dublin,21.7,72,22.6,2,17.6,87
