date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Ireland,Limerick,11.1,70,7.8,2,15.8,282
2026-05-17,Ireland,Limerick,10.3,83,7.5,51,14.8,256
2026-05-17,Ireland,Limerick,10.0,87,6.9,53,16.9,249
2026-05-17,Ireland,Limerick,10.8,79,6.3,51,25.6,284
2026-05-18,Ireland,Limerick,11.0,92,8.6,61,16.2,140
2026-05-19,Ireland,Limerick,12.6,89,10.3,51,16.9,245
2026-05-20,Ireland,Limerick,16.9,63,14.4,3,16.6,188
2026-05-21,Ireland,Limerick,16.8,67,13.8,3,22.3,162
2026-05-22,Ireland,Limerick,16.8,67,14.4,3,17.6,192
2026-05-23,Ireland,Limerick,19.1,45,17.1,1,15.1,230
