date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Italy,Florence,14.0,77,13.8,0,1.5,194
2026-05-17,Italy,Florence,21.4,50,22.1,0,10.5,274
2026-05-17,Italy,Florence,21.8,44,21.9,0,10.1,274
2026-05-17,Italy,Florence,21.8,44,20.5,2,12.7,277
2026-05-18,Italy,Florence,18.3,56,16.1,0,13.3,268
2026-05-19,Italy,Florence,17.6,74,17.4,2,7.8,257
2026-05-20,Italy,Florence,21.0,56,20.3,1,8.7,253
2026-05-21,Italy,Florence,25.1,36,23.7,0,7.9,51
2026-05-22,Italy,Florence,26.1,31,23.8,0,12.0,57
2026-05-23,Italy,Florence,28.3,35,28.4,0,14.3,43
2026-05-24,Italy,Florence,29.9,32,29.3,0,19.0,53
