date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Italy,Milan,17.3,44,15.8,0,2.1,31
2026-05-17,Italy,Milan,20.2,42,20.0,3,8.1,159
2026-05-17,Italy,Milan,20.6,40,20.2,3,7.0,168
2026-05-17,Italy,Milan,21.4,33,20.1,2,5.8,202
2026-05-18,Italy,Milan,17.8,56,16.4,3,7.6,273
2026-05-19,Italy,Milan,21.3,41,19.6,1,7.0,235
2026-05-20,Italy,Milan,24.2,44,23.8,0,5.0,240
2026-05-21,Italy,Milan,26.5,35,25.1,2,8.7,150
2026-05-22,Italy,Milan,27.6,37,26.8,0,9.2,149
2026-05-23,Italy,Milan,28.4,36,30.3,0,5.2,196
2026-05-24,Italy,Milan,29.9,34,32.0,0,5.2,168
2026-05-25,Italy,Milan,31.8,30,31.0,0,9.4,173
2026-05-26,Italy,Milan,32.1,28,31.3,0,7.8,236
2026-05-27,Italy,Milan,31.6,30,30.0,1,14.8,219
2026-05-28,Italy,Milan,22.8,65,22.6,3,15.5,78
2026-05-29,Italy,Milan,26.0,59,27.4,0,8.2,119
2026-05-30,Italy,Milan,30.2,39,32.5,3,4.9,197
2026-05-31,Italy,Milan,31.8,40,32.2,3,14.1,251
2026-06-01,Italy,Milan,22.4,74,23.2,2,13.4,96
2026-06-02,Italy,Milan,17.9,90,18.8,61,8.4,31
2026-06-03,Italy,Milan,21.6,55,21.3,0,6.9,264
2026-06-04,Italy,Milan,22.8,62,23.8,3,4.3,265
2026-06-05,Italy,Milan,24.5,49,24.2,2,9.2,116
2026-06-06,Italy,Milan,24.1,53,24.9,3,5.2,74
2026-06-07,Italy,Milan,28.2,44,28.9,2,7.1,204
2026-06-08,Italy,Milan,27.6,49,28.4,2,7.7,169
2026-06-09,Italy,Milan,27.3,51,27.4,3,14.2,210
2026-06-10,Italy,Milan,22.6,36,20.2,2,10.5,352
2026-06-11,Italy,Milan,23.7,23,19.9,3,12.7,353
2026-06-12,Italy,Milan,27.5,35,26.6,0,7.9,254
2026-06-13,Italy,Milan,32.3,26,30.9,0,11.4,242
2026-06-14,Italy,Milan,28.0,52,30.6,3,12.7,241
2026-06-15,Italy,Milan,32.4,19,30.1,0,13.3,327
2026-06-16,Italy,Milan,30.0,40,33.0,0,2.9,120
2026-06-17,Italy,Milan,31.7,45,36.0,0,5.1,225
2026-06-18,Italy,Milan,32.8,41,37.1,0,4.0,180
2026-06-19,Italy,Milan,32.9,39,36.7,0,5.2,155
2026-06-20,Italy,Milan,33.1,44,37.9,0,5.2,192
2026-06-21,Italy,Milan,33.3,43,37.6,0,7.4,209
2026-06-22,Italy,Milan,35.7,33,38.3,0,6.4,153
2026-06-23,Italy,Milan,34.5,41,39.3,1,4.4,279
2026-06-24,Italy,Milan,33.5,40,37.4,0,7.0,125
2026-06-25,Italy,Milan,34.3,38,38.4,2,6.0,147
2026-06-26,Italy,Milan,34.5,42,39.0,1,6.9,231
2026-06-27,Italy,Milan,34.1,45,39.4,1,4.7,212
2026-06-29,Italy,Milan,35.2,31,38.0,3,4.2,211
2026-06-30,Italy,Milan,32.2,36,35.0,2,4.2,110
2026-07-01,Italy,Milan,31.5,40,31.8,3,12.9,324
2026-07-02,Italy,Milan,29.5,39,32.3,0,5.7,198
