date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Italy,Naples,16.5,64,15.1,1,9.4,272
2026-05-17,Italy,Naples,21.8,37,21.0,3,6.0,205
2026-05-17,Italy,Naples,21.6,42,19.9,3,12.5,219
2026-05-17,Italy,Naples,21.2,45,19.4,3,11.3,243
2026-05-18,Italy,Naples,18.1,63,16.7,3,11.0,281
2026-05-19,Italy,Naples,19.4,67,18.5,1,12.5,282
2026-05-20,Italy,Naples,19.8,63,19.8,2,5.3,298
2026-05-21,Italy,Naples,23.9,38,21.4,0,14.8,23
2026-05-22,Italy,Naples,24.9,40,23.6,0,9.7,333
2026-05-23,Italy,Naples,28.7,29,27.4,3,12.4,30
2026-05-24,Italy,Naples,29.9,28,29.5,2,11.0,38
2026-05-25,Italy,Naples,29.0,25,26.2,0,14.3,49
2026-05-26,Italy,Naples,25.7,41,25.3,0,6.1,270
2026-05-27,Italy,Naples,24.4,66,26.4,0,5.1,231
2026-05-28,Italy,Naples,23.6,78,26.6,3,3.8,197
2026-05-29,Italy,Naples,27.4,31,25.9,3,8.1,58
2026-05-30,Italy,Naples,29.6,26,28.7,0,14.3,223
2026-05-31,Italy,Naples,26.9,52,27.4,0,12.4,234
2026-06-01,Italy,Naples,21.7,93,25.3,3,3.6,180
2026-06-02,Italy,Naples,22.1,90,25.0,2,8.3,185
2026-06-03,Italy,Naples,21.1,74,23.0,3,2.1,149
2026-06-04,Italy,Naples,23.7,75,25.8,3,8.4,223
2026-06-05,Italy,Naples,23.9,57,24.7,2,5.4,278
2026-06-06,Italy,Naples,28.5,39,28.9,2,13.4,239
2026-06-07,Italy,Naples,27.8,50,28.0,0,14.0,244
2026-06-08,Italy,Naples,24.8,65,26.7,0,6.2,234
2026-06-09,Italy,Naples,25.6,55,26.4,0,8.4,263
2026-06-10,Italy,Naples,24.9,60,26.5,2,5.1,231
2026-06-11,Italy,Naples,21.7,64,22.8,0,2.6,304
2026-06-12,Italy,Naples,24.8,56,25.0,3,11.4,298
2026-06-13,Italy,Naples,28.2,31,25.9,0,15.3,278
2026-06-14,Italy,Naples,27.7,54,29.9,0,16.5,196
2026-06-15,Italy,Naples,25.4,66,27.1,3,9.7,202
2026-06-16,Italy,Naples,29.4,49,31.9,0,12.8,232
2026-06-17,Italy,Naples,30.9,46,33.4,3,12.9,247
2026-06-18,Italy,Naples,33.3,36,35.6,2,10.1,215
2026-06-19,Italy,Naples,33.0,37,34.7,2,14.6,220
2026-06-20,Italy,Naples,32.2,36,34.2,0,12.1,203
2026-06-21,Italy,Naples,32.7,36,34.8,1,12.8,202
2026-06-22,Italy,Naples,32.0,49,34.9,0,9.2,239
2026-06-23,Italy,Naples,34.1,35,35.6,3,12.2,214
2026-06-24,Italy,Naples,33.8,39,35.8,2,14.1,220
2026-06-25,Italy,Naples,32.6,44,35.9,0,13.4,207
2026-06-26,Italy,Naples,33.1,48,37.1,1,13.8,219
2026-06-27,Italy,Naples,35.7,27,38.1,0,7.1,195
2026-06-29,Italy,Naples,35.0,38,37.8,0,14.3,219
2026-06-30,Italy,Naples,35.2,35,38.1,3,11.6,216
2026-07-01,Italy,Naples,32.6,53,36.8,3,13.6,220
2026-07-02,Italy,Naples,26.5,79,31.1,3,4.3,156
2026-07-03,Italy,Naples,32.6,37,34.5,3,10.5,86
2026-07-04,Italy,Naples,32.9,30,33.2,0,17.7,39
2026-07-05,Italy,Naples,32.9,23,31.8,0,19.4,35
2026-07-06,Italy,Naples,31.1,53,35.0,3,13.3,213
2026-07-07,Italy,Naples,30.3,54,34.1,0,13.9,201
2026-07-08,Italy,Naples,29.5,64,33.9,2,13.6,212
2026-07-09,Italy,Naples,31.0,56,35.4,3,12.0,213
