date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Italy,Rome,15.5,63,14.3,2,5.9,281
2026-05-17,Italy,Rome,21.2,40,20.3,1,11.3,211
2026-05-17,Italy,Rome,21.2,38,20.1,1,11.2,222
2026-05-17,Italy,Rome,21.1,40,19.3,1,11.6,234
2026-05-18,Italy,Rome,17.9,57,16.6,3,7.3,200
2026-05-19,Italy,Rome,19.7,56,18.4,3,10.5,286
2026-05-20,Italy,Rome,21.6,62,21.5,3,9.4,272
2026-05-21,Italy,Rome,25.5,35,23.0,0,15.2,355
2026-05-22,Italy,Rome,27.0,27,23.6,1,17.2,350
2026-05-23,Italy,Rome,28.6,28,29.1,1,7.9,357
2026-05-24,Italy,Rome,30.2,26,31.2,0,5.7,325
2026-05-25,Italy,Rome,27.1,36,25.5,1,12.6,257
2026-05-26,Italy,Rome,25.9,37,24.7,2,9.2,244
2026-05-27,Italy,Rome,26.4,49,26.8,0,7.9,246
2026-05-28,Italy,Rome,28.0,53,30.3,0,2.9,263
2026-05-29,Italy,Rome,26.5,50,27.8,3,3.2,333
2026-05-30,Italy,Rome,30.0,40,31.0,1,13.2,225
2026-05-31,Italy,Rome,29.8,36,28.8,0,15.8,258
2026-06-01,Italy,Rome,21.6,87,24.7,2,3.6,225
2026-06-02,Italy,Rome,22.2,87,24.8,3,8.3,185
2026-06-03,Italy,Rome,22.6,62,23.4,1,5.5,247
2026-06-04,Italy,Rome,23.1,64,23.7,3,10.0,229
2026-06-05,Italy,Rome,24.2,60,25.1,3,7.8,236
2026-06-06,Italy,Rome,25.9,49,25.6,3,12.5,229
2026-06-07,Italy,Rome,28.9,40,28.0,0,15.7,261
2026-06-08,Italy,Rome,26.5,42,26.0,0,9.2,259
2026-06-09,Italy,Rome,25.9,49,25.9,0,10.0,240
2026-06-10,Italy,Rome,24.4,72,26.2,2,10.8,184
2026-06-11,Italy,Rome,23.8,64,25.6,2,3.1,216
2026-06-12,Italy,Rome,28.3,26,25.2,0,15.6,345
2026-06-13,Italy,Rome,29.3,33,27.6,0,15.2,266
2026-06-14,Italy,Rome,29.6,34,30.4,2,13.3,232
2026-06-15,Italy,Rome,27.2,53,27.6,3,13.6,192
2026-06-16,Italy,Rome,29.5,49,31.5,0,12.1,253
2026-06-17,Italy,Rome,33.2,35,34.2,2,15.1,267
2026-06-18,Italy,Rome,34.1,38,37.0,2,11.4,246
2026-06-19,Italy,Rome,34.9,34,36.1,1,15.1,237
2026-06-20,Italy,Rome,34.7,35,37.8,0,10.4,224
2026-06-21,Italy,Rome,36.2,29,38.4,0,11.7,252
2026-06-22,Italy,Rome,31.7,52,34.9,3,6.7,106
2026-06-23,Italy,Rome,35.5,29,38.6,0,4.7,293
2026-06-24,Italy,Rome,35.3,33,38.5,3,7.6,267
2026-06-25,Italy,Rome,34.6,33,37.6,1,8.7,222
2026-06-26,Italy,Rome,34.4,38,38.6,1,7.2,252
2026-06-27,Italy,Rome,35.5,35,39.0,1,8.4,227
2026-06-29,Italy,Rome,35.7,37,37.5,3,13.4,234
2026-06-30,Italy,Rome,37.1,27,39.1,2,11.0,247
2026-07-01,Italy,Rome,35.7,25,36.0,0,16.7,263
2026-07-02,Italy,Rome,29.5,58,32.1,80,15.1,162
2026-07-03,Italy,Rome,33.5,33,36.5,2,6.1,310
2026-07-04,Italy,Rome,33.7,27,35.2,0,9.1,351
2026-07-05,Italy,Rome,32.8,20,32.4,0,11.7,252
2026-07-06,Italy,Rome,33.4,36,35.1,0,15.4,249
2026-07-07,Italy,Rome,32.7,44,36.0,1,13.1,238
2026-07-08,Italy,Rome,32.2,40,34.9,0,11.4,242
2026-07-09,Italy,Rome,32.6,45,36.1,1,12.5,229
2026-07-10,Italy,Rome,34.6,28,35.5,0,14.2,210
2026-07-11,Italy,Rome,33.5,41,36.5,0,12.3,185
2026-07-12,Italy,Rome,33.9,26,35.4,2,5.4,274
2026-07-13,Italy,Rome,34.4,37,37.1,0,13.8,231
2026-07-14,Italy,Rome,35.4,31,37.5,0,11.7,214
2026-07-15,Italy,Rome,34.6,36,38.5,0,5.2,254
2026-07-16,Italy,Rome,35.2,39,39.5,0,7.9,273
2026-07-17,Italy,Rome,35.1,47,39.7,0,13.6,192
2026-07-18,Italy,Rome,35.1,42,39.8,0,8.0,275
