date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Italy,Venice,16.8,64,15.0,0,12.4,210
2026-05-17,Italy,Venice,18.8,60,19.0,0,13.2,154
2026-05-17,Italy,Venice,18.7,62,18.6,0,14.0,157
2026-05-17,Italy,Venice,18.9,43,16.6,1,14.2,159
2026-05-18,Italy,Venice,18.4,63,17.1,1,11.2,135
2026-05-19,Italy,Venice,19.7,67,19.5,3,8.6,158
2026-05-20,Italy,Venice,19.1,74,19.4,61,7.4,313
2026-05-21,Italy,Venice,22.2,51,21.4,1,8.8,168
2026-05-22,Italy,Venice,24.5,39,24.0,0,3.1,234
2026-05-23,Italy,Venice,25.6,42,26.6,0,10.1,145
2026-05-24,Italy,Venice,27.0,44,28.7,0,9.7,178
2026-05-25,Italy,Venice,25.9,64,27.3,0,12.1,157
2026-05-26,Italy,Venice,25.6,69,28.0,0,8.0,162
2026-05-27,Italy,Venice,25.8,62,25.9,3,19.2,30
2026-05-28,Italy,Venice,23.5,74,24.7,80,13.4,156
2026-05-29,Italy,Venice,23.7,65,24.0,0,14.1,167
2026-05-30,Italy,Venice,28.4,44,29.8,1,12.7,172
2026-05-31,Italy,Venice,27.1,66,28.8,3,16.0,134
2026-06-01,Italy,Venice,20.3,85,21.4,1,11.8,20
2026-06-02,Italy,Venice,21.5,86,23.8,3,7.4,129
2026-06-03,Italy,Venice,19.8,73,20.5,1,6.2,80
2026-06-04,Italy,Venice,22.4,61,22.4,3,10.3,155
2026-06-05,Italy,Venice,22.7,70,23.4,2,11.4,125
2026-06-06,Italy,Venice,23.9,64,25.8,2,11.0,139
2026-06-07,Italy,Venice,26.4,51,27.1,0,8.9,137
2026-06-08,Italy,Venice,24.7,72,27.0,0,8.1,159
2026-06-09,Italy,Venice,24.2,70,25.6,2,11.1,115
2026-06-10,Italy,Venice,22.4,76,24.2,1,7.4,337
2026-06-11,Italy,Venice,21.5,60,21.2,3,9.4,92
2026-06-12,Italy,Venice,23.0,51,21.4,0,16.0,166
2026-06-13,Italy,Venice,24.3,66,24.8,0,15.5,138
2026-06-14,Italy,Venice,25.4,67,29.7,3,4.5,119
2026-06-15,Italy,Venice,26.2,57,26.6,0,15.7,101
2026-06-16,Italy,Venice,28.1,46,29.4,3,11.8,149
2026-06-17,Italy,Venice,27.4,56,29.5,0,15.4,147
2026-06-18,Italy,Venice,29.5,53,33.2,1,10.0,154
2026-06-19,Italy,Venice,30.2,49,33.4,0,10.7,140
2026-06-20,Italy,Venice,31.2,47,35.0,0,8.7,150
2026-06-21,Italy,Venice,33.4,39,37.8,1,2.6,164
2026-06-22,Italy,Venice,33.6,35,34.7,0,12.3,177
2026-06-23,Italy,Venice,32.4,42,36.2,0,7.7,131
2026-06-24,Italy,Venice,31.8,52,36.2,0,11.3,121
2026-06-25,Italy,Venice,33.3,38,36.5,0,8.6,147
2026-06-26,Italy,Venice,34.2,33,37.0,0,7.8,146
2026-06-27,Italy,Venice,33.9,36,37.2,0,7.8,124
2026-06-29,Italy,Venice,36.1,35,39.6,1,8.7,132
2026-06-30,Italy,Venice,33.8,41,37.4,3,7.6,155
2026-07-01,Italy,Venice,33.5,44,37.7,1,8.9,148
2026-07-02,Italy,Venice,30.1,38,32.9,0,4.8,77
2026-07-03,Italy,Venice,31.1,32,32.5,0,9.7,158
2026-07-04,Italy,Venice,28.8,47,31.2,0,11.4,152
