date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Japan,Kyoto,14.7,67,13.9,0,3.3,49
2026-05-17,Japan,Kyoto,18.9,41,17.5,0,1.4,360
2026-05-17,Japan,Kyoto,17.4,38,15.6,0,1.5,14
2026-05-17,Japan,Kyoto,16.1,44,14.4,0,1.5,14
2026-05-18,Japan,Kyoto,15.8,72,15.7,0,2.6,34
2026-05-19,Japan,Kyoto,17.6,93,19.4,0,3.7,61
2026-05-20,Japan,Kyoto,20.1,97,23.4,51,2.9,360
2026-05-21,Japan,Kyoto,20.2,92,23.3,2,1.4,270
2026-05-22,Japan,Kyoto,18.5,82,19.7,2,4.6,108
2026-05-23,Japan,Kyoto,18.3,82,18.9,2,8.3,108
2026-05-24,Japan,Kyoto,20.5,68,21.5,2,3.6,96
2026-05-25,Japan,Kyoto,18.6,78,19.8,2,2.7,23
2026-05-26,Japan,Kyoto,19.2,86,20.7,2,5.6,63
2026-05-27,Japan,Kyoto,20.3,92,22.8,61,6.1,62
2026-05-28,Japan,Kyoto,21.0,87,24.2,3,0.5,315
2026-05-29,Japan,Kyoto,13.3,79,12.8,0,3.0,104
2026-05-30,Japan,Kyoto,21.5,67,23.2,2,0.7,180
2026-05-31,Japan,Kyoto,20.0,72,21.2,0,3.1,54
2026-06-01,Japan,Kyoto,19.2,96,22.0,65,2.4,27
2026-06-02,Japan,Kyoto,20.4,86,20.3,65,20.9,41
2026-06-03,Japan,Kyoto,18.8,86,20.6,2,2.6,214
2026-06-04,Japan,Kyoto,18.3,89,20.0,51,4.3,66
2026-06-05,Japan,Kyoto,18.4,82,19.9,2,2.3,51
2026-06-06,Japan,Kyoto,21.6,85,24.7,1,1.5,166
2026-06-07,Japan,Kyoto,19.9,85,21.4,2,8.0,80
