date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Japan,Nagoya,14.4,91,14.8,0,3.3,319
2026-05-17,Japan,Nagoya,20.8,63,21.5,0,2.7,67
2026-05-17,Japan,Nagoya,19.8,62,20.0,0,3.3,41
2026-05-17,Japan,Nagoya,18.1,69,18.3,0,3.4,32
2026-05-18,Japan,Nagoya,15.8,80,16.0,0,3.4,18
2026-05-19,Japan,Nagoya,17.6,92,19.4,1,2.9,360
2026-05-20,Japan,Nagoya,20.6,96,23.5,63,6.0,147
2026-05-21,Japan,Nagoya,20.3,94,23.3,51,3.5,294
2026-05-22,Japan,Nagoya,17.3,74,17.3,3,5.8,180
2026-05-23,Japan,Nagoya,16.7,93,18.2,3,2.6,16
2026-05-24,Japan,Nagoya,19.8,82,21.8,1,1.5,225
2026-05-25,Japan,Nagoya,18.9,85,20.8,2,1.9,68
2026-05-26,Japan,Nagoya,18.3,89,20.1,3,2.6,34
2026-05-27,Japan,Nagoya,19.3,95,22.0,51,3.3,49
2026-05-28,Japan,Nagoya,20.4,85,22.5,2,5.3,298
2026-05-29,Japan,Nagoya,15.1,69,14.3,0,4.0,350
2026-05-30,Japan,Nagoya,21.4,65,22.5,1,2.6,124
2026-05-31,Japan,Nagoya,19.5,75,20.7,0,2.9,97
2026-06-01,Japan,Nagoya,18.4,93,20.8,55,1.1,342
2026-06-02,Japan,Nagoya,19.9,88,21.0,65,11.9,35
2026-06-03,Japan,Nagoya,20.3,82,22.2,2,4.3,312
2026-06-04,Japan,Nagoya,18.6,86,20.5,2,1.3,56
