date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Japan,Sapporo,10.6,95,9.2,3,9.4,337
2026-05-17,Japan,Sapporo,10.6,88,8.1,3,15.2,139
2026-05-17,Japan,Sapporo,10.3,86,7.3,3,16.9,141
2026-05-17,Japan,Sapporo,9.9,86,6.9,3,16.0,141
2026-05-18,Japan,Sapporo,9.8,91,8.9,2,3.2,117
2026-05-19,Japan,Sapporo,10.2,99,8.9,53,9.3,119
2026-05-20,Japan,Sapporo,10.3,100,9.4,3,7.1,333
2026-05-21,Japan,Sapporo,8.9,94,7.1,3,8.8,113
2026-05-22,Japan,Sapporo,6.6,81,3.6,1,10.3,121
2026-05-23,Japan,Sapporo,8.6,75,4.8,3,16.5,140
2026-05-24,Japan,Sapporo,11.3,93,8.5,3,19.8,156
2026-05-25,Japan,Sapporo,12.0,91,10.1,3,14.1,141
