date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Japan,Tokyo,13.0,97,13.3,0,3.3,257
2026-05-17,Japan,Tokyo,19.4,62,19.6,0,2.9,90
2026-05-17,Japan,Tokyo,18.1,75,18.8,0,3.5,66
2026-05-17,Japan,Tokyo,17.2,79,17.8,0,3.5,294
2026-05-18,Japan,Tokyo,15.9,85,16.5,0,3.5,204
2026-05-19,Japan,Tokyo,16.9,92,18.5,0,2.3,231
2026-05-20,Japan,Tokyo,18.7,98,21.3,1,3.5,246
2026-05-21,Japan,Tokyo,14.3,96,14.9,65,4.7,351
2026-05-22,Japan,Tokyo,12.8,75,11.9,2,3.6,360
2026-05-23,Japan,Tokyo,14.9,77,14.5,2,4.5,29
2026-05-24,Japan,Tokyo,18.7,85,20.5,2,2.4,27
2026-05-25,Japan,Tokyo,17.8,91,19.5,1,3.6,45
2026-05-26,Japan,Tokyo,18.0,96,20.2,2,3.2,360
2026-05-27,Japan,Tokyo,19.9,92,22.3,1,5.4,188
2026-05-28,Japan,Tokyo,21.0,100,25.1,3,1.8,270
2026-05-29,Japan,Tokyo,16.6,61,16.0,1,2.6,74
2026-05-30,Japan,Tokyo,19.6,84,21.7,1,2.6,34
2026-05-31,Japan,Tokyo,19.1,94,21.7,0,3.2,27
2026-06-01,Japan,Tokyo,19.6,80,21.2,2,3.6,186
2026-06-02,Japan,Tokyo,18.3,96,20.0,63,7.9,51
2026-06-03,Japan,Tokyo,18.1,76,18.9,2,3.6,360
2026-06-04,Japan,Tokyo,16.8,76,17.0,0,4.7,356
2026-06-05,Japan,Tokyo,15.8,81,16.1,2,4.0,350
2026-06-06,Japan,Tokyo,18.0,80,19.1,3,2.9,90
2026-06-07,Japan,Tokyo,18.7,96,21.2,63,2.9,97
2026-06-08,Japan,Tokyo,19.1,96,21.9,51,2.9,240
2026-06-09,Japan,Tokyo,18.8,95,21.4,1,2.8,230
2026-06-10,Japan,Tokyo,17.3,72,18.0,3,0.4,270
2026-06-11,Japan,Tokyo,18.6,98,21.0,3,4.1,345
2026-06-12,Japan,Tokyo,17.7,94,19.7,2,2.7,337
2026-06-13,Japan,Tokyo,20.5,83,22.5,2,4.7,189
2026-06-14,Japan,Tokyo,21.6,81,23.8,3,5.2,168
2026-06-15,Japan,Tokyo,17.2,91,18.8,1,2.5,360
2026-06-16,Japan,Tokyo,19.7,83,21.6,2,3.4,162
2026-06-17,Japan,Tokyo,21.1,82,23.6,2,2.4,153
2026-06-18,Japan,Tokyo,21.8,89,25.4,1,1.9,202
2026-06-19,Japan,Tokyo,22.5,89,26.2,1,3.4,122
2026-06-20,Japan,Tokyo,21.2,96,24.4,63,6.7,144
2026-06-21,Japan,Tokyo,24.7,80,28.6,3,3.9,68
2026-06-22,Japan,Tokyo,20.1,82,22.1,2,3.3,103
2026-06-23,Japan,Tokyo,19.7,80,21.2,2,4.0,63
2026-06-24,Japan,Tokyo,21.9,88,25.0,3,4.6,141
2026-06-25,Japan,Tokyo,20.0,96,23.1,51,3.8,311
2026-06-26,Japan,Tokyo,22.2,95,26.2,55,4.0,190
2026-06-27,Japan,Tokyo,22.5,95,26.2,3,7.0,339
2026-06-29,Japan,Tokyo,22.6,92,26.7,1,2.5,172
2026-06-30,Japan,Tokyo,24.1,82,27.9,1,3.4,212
2026-07-01,Japan,Tokyo,23.0,89,26.7,3,5.4,172
2026-07-02,Japan,Tokyo,22.0,84,25.0,1,3.2,360
