date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Kenya,Nairobi,17.1,85,17.3,0,9.1,353
2026-05-17,Kenya,Nairobi,24.0,54,25.1,1,7.1,99
2026-05-17,Kenya,Nairobi,23.6,59,24.0,2,9.5,61
2026-05-17,Kenya,Nairobi,21.0,70,21.8,51,7.8,353
2026-05-18,Kenya,Nairobi,18.1,83,18.6,3,8.9,352
2026-05-19,Kenya,Nairobi,18.2,80,18.6,0,8.7,6
2026-05-20,Kenya,Nairobi,18.3,79,18.7,0,8.0,6
2026-05-21,Kenya,Nairobi,17.9,93,19.4,0,5.4,4
2026-05-22,Kenya,Nairobi,19.5,75,19.7,1,9.6,13
2026-05-23,Kenya,Nairobi,25.3,44,25.3,2,12.5,49
2026-05-24,Kenya,Nairobi,25.5,44,25.1,0,14.1,55
2026-05-25,Kenya,Nairobi,19.0,70,18.8,3,8.4,20
2026-05-26,Kenya,Nairobi,18.5,73,18.3,3,9.1,350
2026-05-27,Kenya,Nairobi,19.7,63,19.8,3,4.7,50
2026-05-28,Kenya,Nairobi,18.0,77,18.2,1,7.1,339
2026-05-29,Kenya,Nairobi,18.5,76,19.0,3,6.1,71
2026-05-30,Kenya,Nairobi,24.0,48,23.6,1,7.8,109
2026-05-31,Kenya,Nairobi,22.3,52,21.0,3,13.3,111
2026-06-01,Kenya,Nairobi,16.5,93,17.3,53,6.1,85
2026-06-02,Kenya,Nairobi,15.7,86,16.4,3,2.3,61
2026-06-03,Kenya,Nairobi,16.9,85,17.6,3,4.2,25
2026-06-04,Kenya,Nairobi,18.5,92,20.5,1,3.7,35
2026-06-05,Kenya,Nairobi,18.8,72,19.1,2,5.8,20
2026-06-06,Kenya,Nairobi,26.0,43,24.9,1,11.9,52
2026-06-07,Kenya,Nairobi,22.7,49,20.9,2,15.3,72
2026-06-08,Kenya,Nairobi,18.5,73,18.4,3,8.8,359
2026-06-09,Kenya,Nairobi,19.0,71,18.6,3,9.9,5
2026-06-10,Kenya,Nairobi,17.9,70,17.6,3,7.3,9
2026-06-11,Kenya,Nairobi,17.9,70,17.3,2,9.6,41
2026-06-12,Kenya,Nairobi,20.1,63,19.5,3,10.1,95
2026-06-13,Kenya,Nairobi,19.1,71,19.2,3,7.4,68
2026-06-14,Kenya,Nairobi,23.7,41,22.7,3,7.1,60
2026-06-15,Kenya,Nairobi,22.5,39,20.1,3,12.4,103
2026-06-16,Kenya,Nairobi,25.3,30,22.8,3,10.9,97
2026-06-17,Kenya,Nairobi,22.7,47,21.0,3,13.3,117
2026-06-18,Kenya,Nairobi,24.5,41,24.3,1,7.2,58
2026-06-19,Kenya,Nairobi,24.4,46,23.7,2,10.9,84
2026-06-20,Kenya,Nairobi,23.4,48,24.0,2,10.0,107
2026-06-21,Kenya,Nairobi,22.9,47,22.2,1,10.1,61
2026-06-22,Kenya,Nairobi,19.5,63,18.7,3,10.3,93
2026-06-23,Kenya,Nairobi,21.5,54,21.0,3,7.1,106
2026-06-24,Kenya,Nairobi,22.4,51,22.2,2,4.6,101
2026-06-25,Kenya,Nairobi,23.5,49,24.4,1,4.1,135
2026-06-26,Kenya,Nairobi,24.3,46,24.7,1,6.8,169
2026-06-27,Kenya,Nairobi,25.0,42,25.9,2,4.5,182
2026-06-29,Kenya,Nairobi,24.6,43,24.4,0,6.4,74
2026-06-30,Kenya,Nairobi,25.0,41,25.3,1,7.7,123
2026-07-01,Kenya,Nairobi,24.5,42,23.8,3,9.7,115
2026-07-02,Kenya,Nairobi,25.3,40,25.2,1,9.4,126
2026-07-03,Kenya,Nairobi,26.3,37,26.5,2,5.6,132
2026-07-04,Kenya,Nairobi,23.7,51,24.2,3,11.7,77
2026-07-05,Kenya,Nairobi,21.6,57,20.9,2,10.6,134
2026-07-06,Kenya,Nairobi,24.5,37,22.3,2,14.3,107
2026-07-07,Kenya,Nairobi,23.6,41,21.6,3,12.8,101
2026-07-08,Kenya,Nairobi,24.4,36,24.6,2,6.8,127
2026-07-09,Kenya,Nairobi,26.4,34,25.1,1,9.7,92
