date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Kenya,Nakuru,16.9,89,18.4,3,0.7,14
2026-05-17,Kenya,Nakuru,23.7,53,23.9,1,10.7,330
2026-05-17,Kenya,Nakuru,23.0,55,22.5,2,12.3,325
2026-05-17,Kenya,Nakuru,21.8,61,21.9,3,7.6,313
2026-05-18,Kenya,Nakuru,15.7,97,17.4,51,0.9,307
2026-05-19,Kenya,Nakuru,17.8,82,18.8,0,4.1,331
2026-05-20,Kenya,Nakuru,17.8,86,19.6,51,0.2,360
2026-05-21,Kenya,Nakuru,17.4,92,18.4,51,7.2,90
2026-05-22,Kenya,Nakuru,18.7,75,19.2,1,6.1,348
2026-05-23,Kenya,Nakuru,25.5,41,24.6,3,12.6,326
2026-05-24,Kenya,Nakuru,25.6,39,25.3,1,7.7,306
2026-05-25,Kenya,Nakuru,19.9,67,19.2,3,12.2,123
2026-05-26,Kenya,Nakuru,18.9,71,19.0,3,7.4,151
2026-05-27,Kenya,Nakuru,19.0,69,18.1,3,13.0,135
2026-05-28,Kenya,Nakuru,18.1,69,18.0,2,6.4,140
2026-05-29,Kenya,Nakuru,19.0,69,18.5,3,9.7,132
2026-05-30,Kenya,Nakuru,21.0,66,20.2,51,14.8,140
2026-05-31,Kenya,Nakuru,20.8,65,19.3,51,19.0,149
2026-06-01,Kenya,Nakuru,16.9,74,15.7,3,13.4,166
2026-06-02,Kenya,Nakuru,17.8,67,16.4,1,12.8,156
2026-06-03,Kenya,Nakuru,18.0,75,17.6,1,10.0,144
2026-06-04,Kenya,Nakuru,19.7,68,19.3,1,10.5,139
2026-06-05,Kenya,Nakuru,21.1,56,20.1,3,10.5,161
2026-06-06,Kenya,Nakuru,24.5,38,23.2,1,7.6,216
2026-06-07,Kenya,Nakuru,24.4,42,23.7,1,6.5,39
