date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Malaysia,Johor Bahru,24.7,96,30.4,51,3.3,229
2026-05-17,Malaysia,Johor Bahru,27.0,91,33.4,2,4.3,22
2026-05-17,Malaysia,Johor Bahru,26.7,91,33.1,3,2.9,30
2026-05-17,Malaysia,Johor Bahru,26.9,88,33.1,3,1.8,156
2026-05-18,Malaysia,Johor Bahru,24.8,100,30.8,3,3.2,360
2026-05-19,Malaysia,Johor Bahru,25.4,100,32.2,3,1.2,51
2026-05-20,Malaysia,Johor Bahru,26.0,93,31.8,3,5.1,234
2026-05-21,Malaysia,Johor Bahru,26.5,87,32.3,3,3.3,216
2026-05-22,Malaysia,Johor Bahru,26.5,87,32.3,3,3.2,90
2026-05-23,Malaysia,Johor Bahru,27.0,92,34.1,95,0.8,333
2026-05-24,Malaysia,Johor Bahru,25.9,98,32.6,3,1.9,131
2026-05-25,Malaysia,Johor Bahru,26.2,93,32.3,3,4.3,118
2026-05-26,Malaysia,Johor Bahru,26.7,88,32.9,3,1.3,326
2026-05-27,Malaysia,Johor Bahru,26.4,93,32.9,0,2.3,94
2026-05-28,Malaysia,Johor Bahru,25.9,85,31.2,2,2.2,42
2026-05-29,Malaysia,Johor Bahru,25.8,93,31.9,2,1.5,83
2026-05-30,Malaysia,Johor Bahru,27.4,85,32.9,3,6.3,182
2026-05-31,Malaysia,Johor Bahru,26.3,93,32.4,3,4.5,83
2026-06-01,Malaysia,Johor Bahru,26.6,89,32.1,3,7.0,168
2026-06-02,Malaysia,Johor Bahru,26.8,88,32.6,3,5.4,174
2026-06-03,Malaysia,Johor Bahru,26.5,90,32.3,2,4.7,162
2026-06-04,Malaysia,Johor Bahru,28.1,82,33.5,0,7.5,145
2026-06-05,Malaysia,Johor Bahru,27.5,87,33.3,3,7.0,136
2026-06-06,Malaysia,Johor Bahru,28.4,82,33.9,3,8.4,169
2026-06-07,Malaysia,Johor Bahru,26.7,91,32.9,3,4.0,183
2026-06-08,Malaysia,Johor Bahru,25.6,95,31.2,53,6.3,180
2026-06-09,Malaysia,Johor Bahru,26.3,91,32.1,3,5.2,184
2026-06-10,Malaysia,Johor Bahru,26.3,93,31.9,3,7.5,140
2026-06-11,Malaysia,Johor Bahru,25.2,95,31.0,51,2.5,82
2026-06-12,Malaysia,Johor Bahru,25.2,95,31.1,1,2.1,75
2026-06-13,Malaysia,Johor Bahru,27.3,83,32.5,3,6.8,132
2026-06-14,Malaysia,Johor Bahru,25.4,95,31.2,3,4.2,234
2026-06-15,Malaysia,Johor Bahru,26.8,90,33.0,3,3.9,223
2026-06-16,Malaysia,Johor Bahru,27.1,84,32.5,3,4.9,156
2026-06-17,Malaysia,Johor Bahru,25.2,98,31.2,3,4.8,301
2026-06-18,Malaysia,Johor Bahru,27.6,87,34.0,2,2.5,45
2026-06-19,Malaysia,Johor Bahru,25.6,96,31.6,80,3.6,180
2026-06-20,Malaysia,Johor Bahru,27.9,82,33.5,3,6.0,187
2026-06-21,Malaysia,Johor Bahru,26.2,94,32.1,2,5.6,6
2026-06-22,Malaysia,Johor Bahru,25.3,93,30.9,3,3.2,146
2026-06-23,Malaysia,Johor Bahru,27.3,85,33.0,0,4.8,200
2026-06-24,Malaysia,Johor Bahru,24.0,97,28.5,81,8.6,255
2026-06-25,Malaysia,Johor Bahru,27.8,83,33.7,3,4.3,237
2026-06-26,Malaysia,Johor Bahru,28.1,78,33.2,0,6.1,152
2026-06-27,Malaysia,Johor Bahru,29.1,76,34.4,3,7.0,198
2026-06-29,Malaysia,Johor Bahru,27.5,85,33.6,0,2.6,254
2026-06-30,Malaysia,Johor Bahru,27.2,86,33.1,1,3.9,283
2026-07-01,Malaysia,Johor Bahru,27.8,82,33.6,1,4.3,163
2026-07-02,Malaysia,Johor Bahru,27.8,82,33.2,2,6.5,174
2026-07-03,Malaysia,Johor Bahru,27.7,83,33.1,3,7.1,114
2026-07-04,Malaysia,Johor Bahru,28.9,78,34.7,51,4.9,90
2026-07-05,Malaysia,Johor Bahru,27.2,90,33.6,51,3.8,319
2026-07-06,Malaysia,Johor Bahru,25.5,94,31.7,0,1.0,248
2026-07-07,Malaysia,Johor Bahru,28.0,77,32.9,1,5.9,192
2026-07-08,Malaysia,Johor Bahru,28.0,81,33.8,2,3.9,193
2026-07-09,Malaysia,Johor Bahru,26.0,91,31.5,3,6.1,175
2026-07-10,Malaysia,Johor Bahru,28.2,77,33.1,0,7.0,179
2026-07-11,Malaysia,Johor Bahru,29.3,69,33.1,51,12.0,215
2026-07-12,Malaysia,Johor Bahru,28.9,72,33.0,3,10.6,182
2026-07-13,Malaysia,Johor Bahru,28.0,79,33.1,2,5.9,137
2026-07-14,Malaysia,Johor Bahru,28.7,74,33.5,3,7.3,107
2026-07-15,Malaysia,Johor Bahru,26.6,91,33.2,95,1.3,188
2026-07-16,Malaysia,Johor Bahru,25.6,89,31.2,51,1.5,126
2026-07-17,Malaysia,Johor Bahru,28.1,78,33.4,51,5.2,121
2026-07-18,Malaysia,Johor Bahru,26.9,90,32.8,53,5.7,13
2026-07-19,Malaysia,Johor Bahru,30.4,63,34.7,0,6.2,139
