date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Malaysia,Kuala Lumpur,25.7,97,32.0,3,4.3,107
2026-05-17,Malaysia,Kuala Lumpur,27.1,90,33.7,3,2.3,141
2026-05-17,Malaysia,Kuala Lumpur,27.1,92,33.9,95,2.0,117
2026-05-17,Malaysia,Kuala Lumpur,27.7,89,34.8,95,1.4,90
2026-05-18,Malaysia,Kuala Lumpur,26.7,89,32.9,55,2.9,259
2026-05-19,Malaysia,Kuala Lumpur,26.4,91,32.5,3,3.5,282
2026-05-20,Malaysia,Kuala Lumpur,26.0,88,31.3,3,4.5,286
2026-05-21,Malaysia,Kuala Lumpur,27.0,88,33.3,3,2.5,94
2026-05-22,Malaysia,Kuala Lumpur,27.7,86,34.5,3,0.5,90
2026-05-23,Malaysia,Kuala Lumpur,28.1,77,34.0,3,1.1,81
2026-05-24,Malaysia,Kuala Lumpur,26.0,91,31.7,2,5.2,301
2026-05-25,Malaysia,Kuala Lumpur,25.5,92,31.0,2,4.0,27
2026-05-26,Malaysia,Kuala Lumpur,26.2,84,31.4,3,4.0,273
2026-05-27,Malaysia,Kuala Lumpur,25.9,93,32.2,3,1.3,270
2026-05-28,Malaysia,Kuala Lumpur,25.5,99,32.2,95,2.7,67
2026-05-29,Malaysia,Kuala Lumpur,26.9,85,32.9,3,1.8,53
2026-05-30,Malaysia,Kuala Lumpur,30.0,73,36.2,3,2.0,45
2026-05-31,Malaysia,Kuala Lumpur,28.4,85,35.5,95,0.2,180
2026-06-01,Malaysia,Kuala Lumpur,25.2,95,31.2,2,2.6,78
2026-06-02,Malaysia,Kuala Lumpur,28.2,73,32.9,3,5.0,182
2026-06-03,Malaysia,Kuala Lumpur,24.5,99,30.4,55,3.3,229
2026-06-04,Malaysia,Kuala Lumpur,27.1,90,33.6,3,2.5,330
2026-06-05,Malaysia,Kuala Lumpur,26.8,92,33.4,80,3.3,119
2026-06-06,Malaysia,Kuala Lumpur,29.9,78,36.6,3,2.9,169
2026-06-07,Malaysia,Kuala Lumpur,27.4,86,33.5,3,3.2,128
2026-06-08,Malaysia,Kuala Lumpur,24.3,99,30.0,80,3.0,52
2026-06-09,Malaysia,Kuala Lumpur,26.3,95,32.9,3,2.8,140
2026-06-10,Malaysia,Kuala Lumpur,24.0,97,29.2,55,4.5,67
2026-06-11,Malaysia,Kuala Lumpur,25.0,92,30.7,3,0.6,124
2026-06-12,Malaysia,Kuala Lumpur,26.1,94,32.6,2,1.3,56
2026-06-13,Malaysia,Kuala Lumpur,27.6,87,34.2,2,1.9,34
2026-06-14,Malaysia,Kuala Lumpur,25.7,93,31.4,53,4.0,207
2026-06-15,Malaysia,Kuala Lumpur,26.7,87,32.6,2,2.9,79
2026-06-16,Malaysia,Kuala Lumpur,26.4,87,31.8,3,4.6,13
2026-06-17,Malaysia,Kuala Lumpur,25.8,89,31.3,3,2.7,127
2026-06-18,Malaysia,Kuala Lumpur,27.2,84,33.0,1,3.6,183
2026-06-19,Malaysia,Kuala Lumpur,26.3,92,32.4,3,3.5,285
2026-06-20,Malaysia,Kuala Lumpur,27.2,86,32.8,53,6.0,316
2026-06-21,Malaysia,Kuala Lumpur,26.2,93,32.3,51,4.2,263
2026-06-22,Malaysia,Kuala Lumpur,26.5,87,32.2,3,3.2,16
2026-06-23,Malaysia,Kuala Lumpur,26.6,87,32.8,1,0.5,270
2026-06-24,Malaysia,Kuala Lumpur,24.8,95,30.2,51,4.8,257
2026-06-25,Malaysia,Kuala Lumpur,26.8,89,32.7,51,4.0,100
2026-06-26,Malaysia,Kuala Lumpur,28.2,86,34.8,3,3.7,35
2026-06-27,Malaysia,Kuala Lumpur,30.7,65,35.7,3,4.1,180
2026-06-29,Malaysia,Kuala Lumpur,25.5,93,31.3,3,2.4,253
2026-06-30,Malaysia,Kuala Lumpur,26.9,88,33.0,3,2.7,127
2026-07-01,Malaysia,Kuala Lumpur,25.8,94,31.9,3,2.8,349
2026-07-02,Malaysia,Kuala Lumpur,27.4,86,33.3,3,4.6,39
2026-07-03,Malaysia,Kuala Lumpur,29.2,77,35.4,3,1.7,72
2026-07-04,Malaysia,Kuala Lumpur,29.2,76,34.9,3,4.8,146
2026-07-05,Malaysia,Kuala Lumpur,26.3,91,32.7,53,1.0,248
2026-07-06,Malaysia,Kuala Lumpur,27.5,88,34.1,3,2.7,53
2026-07-07,Malaysia,Kuala Lumpur,26.3,94,32.5,51,4.2,72
2026-07-08,Malaysia,Kuala Lumpur,30.4,68,35.8,2,3.5,189
2026-07-09,Malaysia,Kuala Lumpur,29.3,73,34.8,2,3.4,174
