date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Malaysia,Kuching,24.2,98,29.3,3,6.3,178
2026-05-17,Malaysia,Kuching,25.8,96,31.5,51,7.2,194
2026-05-17,Malaysia,Kuching,25.6,98,31.5,51,6.5,183
2026-05-17,Malaysia,Kuching,25.6,98,31.7,51,5.8,180
2026-05-18,Malaysia,Kuching,24.6,98,30.2,3,4.9,234
2026-05-19,Malaysia,Kuching,25.2,99,31.6,3,2.3,231
2026-05-20,Malaysia,Kuching,25.1,97,31.0,2,5.0,180
2026-05-21,Malaysia,Kuching,24.6,99,30.0,3,6.3,167
2026-05-22,Malaysia,Kuching,25.0,98,30.6,3,5.5,157
2026-05-23,Malaysia,Kuching,26.8,91,33.1,0,3.3,29
2026-05-24,Malaysia,Kuching,25.5,97,31.5,3,5.5,199
2026-05-25,Malaysia,Kuching,24.2,97,29.4,3,4.9,213
2026-05-26,Malaysia,Kuching,24.6,99,30.7,3,3.0,163
2026-05-27,Malaysia,Kuching,24.5,100,30.2,3,4.6,162
2026-05-28,Malaysia,Kuching,24.4,96,29.6,1,4.8,239
2026-05-29,Malaysia,Kuching,24.0,97,29.2,3,4.9,208
2026-05-30,Malaysia,Kuching,26.4,90,32.6,3,2.2,294
2026-05-31,Malaysia,Kuching,26.0,96,32.5,2,3.2,236
2026-06-01,Malaysia,Kuching,24.4,94,29.2,3,5.8,231
2026-06-02,Malaysia,Kuching,24.6,98,30.0,3,6.4,212
2026-06-03,Malaysia,Kuching,26.0,97,32.4,3,4.7,176
2026-06-04,Malaysia,Kuching,26.2,100,32.9,95,5.2,168
2026-06-05,Malaysia,Kuching,25.6,99,32.0,3,4.3,138
2026-06-06,Malaysia,Kuching,27.2,92,34.0,3,2.4,261
2026-06-07,Malaysia,Kuching,25.3,94,30.5,3,7.1,214
2026-06-08,Malaysia,Kuching,24.7,96,29.4,3,9.8,160
2026-06-09,Malaysia,Kuching,23.7,100,28.7,80,5.8,184
2026-06-10,Malaysia,Kuching,25.0,100,30.9,3,5.1,198
2026-06-11,Malaysia,Kuching,23.4,99,28.1,3,6.4,119
2026-06-12,Malaysia,Kuching,23.8,99,28.9,3,5.1,188
2026-06-13,Malaysia,Kuching,24.8,96,30.2,1,5.2,214
2026-06-14,Malaysia,Kuching,25.8,93,31.6,2,3.9,103
2026-06-15,Malaysia,Kuching,24.6,99,30.3,3,3.9,167
2026-06-16,Malaysia,Kuching,24.1,98,28.8,2,8.1,133
2026-06-17,Malaysia,Kuching,26.4,89,32.4,2,1.4,320
2026-06-18,Malaysia,Kuching,24.2,99,29.4,3,5.9,191
2026-06-19,Malaysia,Kuching,25.4,98,31.6,3,3.3,151
2026-06-20,Malaysia,Kuching,25.7,98,31.8,53,6.2,221
2026-06-21,Malaysia,Kuching,25.3,99,31.9,3,1.4,50
2026-06-22,Malaysia,Kuching,23.9,97,28.4,51,8.7,262
2026-06-23,Malaysia,Kuching,26.9,93,33.4,3,3.7,305
2026-06-24,Malaysia,Kuching,27.6,87,33.6,1,5.7,351
2026-06-25,Malaysia,Kuching,27.8,88,34.5,3,3.1,360
2026-06-26,Malaysia,Kuching,27.4,90,33.8,3,4.9,272
2026-06-27,Malaysia,Kuching,27.1,92,33.1,3,7.3,220
2026-06-29,Malaysia,Kuching,27.2,92,33.9,1,2.7,356
2026-06-30,Malaysia,Kuching,24.4,99,29.5,53,7.1,204
2026-07-01,Malaysia,Kuching,27.5,88,34.0,3,2.8,169
2026-07-02,Malaysia,Kuching,26.4,100,33.9,2,0.4,153
2026-07-03,Malaysia,Kuching,26.9,91,33.2,3,4.0,100
2026-07-04,Malaysia,Kuching,27.0,95,34.1,2,2.8,135
2026-07-05,Malaysia,Kuching,27.4,88,34.0,3,1.5,291
2026-07-06,Malaysia,Kuching,25.7,95,31.5,1,5.3,246
2026-07-07,Malaysia,Kuching,25.7,97,32.4,51,1.7,162
2026-07-08,Malaysia,Kuching,27.1,92,33.8,51,3.0,303
2026-07-09,Malaysia,Kuching,26.4,99,33.8,2,0.2,90
2026-07-10,Malaysia,Kuching,28.4,86,35.5,3,0.9,270
2026-07-11,Malaysia,Kuching,30.6,66,35.3,2,7.7,143
2026-07-12,Malaysia,Kuching,29.7,74,35.4,3,5.1,219
2026-07-13,Malaysia,Kuching,28.4,84,34.8,2,3.9,158
2026-07-14,Malaysia,Kuching,30.3,74,36.6,1,2.5,249
2026-07-15,Malaysia,Kuching,28.1,87,34.6,3,4.6,225
2026-07-16,Malaysia,Kuching,24.8,96,30.9,3,0.9,127
2026-07-17,Malaysia,Kuching,28.6,80,34.4,1,6.2,10
2026-07-18,Malaysia,Kuching,25.3,97,30.4,51,9.7,208
2026-07-19,Malaysia,Kuching,26.9,89,33.1,55,3.0,73
2026-07-20,Malaysia,Kuching,25.5,97,31.9,3,2.0,207
2026-07-21,Malaysia,Kuching,25.4,94,31.2,3,3.2,137
2026-07-22,Malaysia,Kuching,26.4,93,32.8,1,2.8,108
2026-07-23,Malaysia,Kuching,26.4,96,32.9,1,4.7,152
