date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Malaysia,Langkawi,26.8,82,31.7,3,5.1,276
2026-05-17,Malaysia,Langkawi,28.1,80,33.9,3,4.5,310
2026-05-17,Malaysia,Langkawi,27.9,75,32.9,3,4.3,292
2026-05-17,Malaysia,Langkawi,28.5,70,33.0,3,5.5,289
2026-05-18,Malaysia,Langkawi,26.4,86,31.4,3,7.1,279
2026-05-19,Malaysia,Langkawi,25.8,91,31.5,3,3.4,180
2026-05-20,Malaysia,Langkawi,25.9,92,32.1,3,1.5,346
2026-05-21,Malaysia,Langkawi,26.5,90,32.7,3,3.1,242
2026-05-22,Malaysia,Langkawi,27.3,89,33.1,95,7.8,13
2026-05-23,Malaysia,Langkawi,28.4,76,32.9,3,10.5,341
2026-05-24,Malaysia,Langkawi,27.0,82,32.2,2,5.0,251
2026-05-25,Malaysia,Langkawi,24.5,96,28.9,51,11.4,309
2026-05-26,Malaysia,Langkawi,24.0,99,28.9,81,7.7,267
2026-05-27,Malaysia,Langkawi,26.8,87,32.5,1,4.5,293
2026-05-28,Malaysia,Langkawi,25.7,97,31.8,3,4.9,33
2026-05-29,Malaysia,Langkawi,27.0,82,31.5,51,9.4,318
2026-05-30,Malaysia,Langkawi,28.4,79,33.7,3,6.7,314
2026-05-31,Malaysia,Langkawi,27.8,82,32.9,3,8.0,301
