date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Malaysia,Penang,27.3,87,33.8,3,1.7,18
2026-05-17,Malaysia,Penang,26.7,94,32.8,2,7.0,61
2026-05-17,Malaysia,Penang,26.3,95,32.7,1,4.8,70
2026-05-17,Malaysia,Penang,26.5,94,32.3,2,7.7,79
2026-05-18,Malaysia,Penang,25.7,96,31.9,53,4.6,296
2026-05-19,Malaysia,Penang,25.9,97,32.8,3,0.5,90
2026-05-20,Malaysia,Penang,25.6,99,32.1,51,3.1,93
2026-05-21,Malaysia,Penang,27.3,93,34.6,95,0.6,56
2026-05-22,Malaysia,Penang,27.9,90,34.8,95,3.9,16
2026-05-23,Malaysia,Penang,28.8,83,35.1,95,5.5,308
2026-05-24,Malaysia,Penang,27.5,87,34.2,3,0.9,323
2026-05-25,Malaysia,Penang,27.6,84,33.2,51,6.3,285
2026-05-26,Malaysia,Penang,25.3,99,31.5,51,4.6,121
2026-05-27,Malaysia,Penang,28.0,82,34.0,3,2.7,302
2026-05-28,Malaysia,Penang,27.2,86,32.8,3,6.2,41
2026-05-29,Malaysia,Penang,27.3,87,33.3,51,5.2,329
2026-05-30,Malaysia,Penang,28.7,85,35.3,95,5.6,331
2026-05-31,Malaysia,Penang,29.0,79,34.5,3,8.2,345
2026-06-01,Malaysia,Penang,25.3,99,31.2,81,5.6,276
2026-06-02,Malaysia,Penang,25.0,100,30.7,3,6.7,90
2026-06-03,Malaysia,Penang,26.2,99,32.9,3,5.7,77
2026-06-04,Malaysia,Penang,25.4,99,31.9,3,2.7,113
2026-06-05,Malaysia,Penang,26.3,98,33.2,3,3.2,90
2026-06-06,Malaysia,Penang,28.8,87,35.7,95,5.3,198
2026-06-07,Malaysia,Penang,26.3,100,33.4,51,3.5,129
2026-06-08,Malaysia,Penang,25.5,99,31.8,3,4.6,103
2026-06-09,Malaysia,Penang,27.1,93,34.3,3,0.9,270
2026-06-10,Malaysia,Penang,25.5,99,32.0,3,3.0,33
2026-06-11,Malaysia,Penang,25.8,97,31.7,3,6.9,147
2026-06-12,Malaysia,Penang,25.9,97,32.3,1,4.0,32
2026-06-13,Malaysia,Penang,27.3,91,34.0,3,3.2,142
2026-06-14,Malaysia,Penang,26.3,98,33.3,3,2.5,45
2026-06-15,Malaysia,Penang,26.2,96,32.6,3,4.2,97
2026-06-16,Malaysia,Penang,26.3,97,33.2,2,2.7,122
2026-06-17,Malaysia,Penang,26.1,97,32.7,51,4.4,69
