date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Mexico,Cancun,31.0,61,35.5,0,17.8,117
2026-05-17,Mexico,Cancun,27.4,77,31.1,1,12.0,122
2026-05-17,Mexico,Cancun,28.5,71,31.5,1,15.0,122
2026-05-17,Mexico,Cancun,29.6,65,32.1,0,17.9,121
2026-05-18,Mexico,Cancun,31.3,60,35.7,1,19.5,126
2026-05-19,Mexico,Cancun,31.6,59,36.7,0,16.2,119
2026-05-20,Mexico,Cancun,28.0,80,33.7,80,14.0,116
2026-05-21,Mexico,Cancun,30.1,66,35.7,55,14.3,109
2026-05-22,Mexico,Cancun,31.5,61,36.9,3,14.4,132
2026-05-23,Mexico,Cancun,27.8,79,32.3,0,10.6,132
2026-05-24,Mexico,Cancun,27.5,83,32.6,0,8.5,132
2026-05-25,Mexico,Cancun,31.0,64,36.1,2,14.1,138
2026-05-26,Mexico,Cancun,26.0,91,29.9,53,17.7,130
2026-05-27,Mexico,Cancun,30.0,65,32.9,51,25.5,137
2026-05-28,Mexico,Cancun,30.2,65,33.4,3,18.5,146
2026-05-29,Mexico,Cancun,30.4,65,33.6,3,18.2,137
2026-05-30,Mexico,Cancun,28.3,75,32.1,3,13.5,142
2026-05-31,Mexico,Cancun,30.1,68,33.9,3,16.5,140
2026-06-01,Mexico,Cancun,29.5,70,33.1,3,14.3,137
2026-06-02,Mexico,Cancun,30.5,67,34.3,3,17.3,144
2026-06-03,Mexico,Cancun,30.0,72,34.7,3,14.0,148
2026-06-04,Mexico,Cancun,31.2,66,36.8,1,17.5,141
2026-06-05,Mexico,Cancun,30.6,67,35.6,2,18.6,132
2026-06-06,Mexico,Cancun,28.7,71,32.0,0,14.6,124
2026-06-07,Mexico,Cancun,30.5,64,34.8,1,13.9,101
2026-06-08,Mexico,Cancun,30.1,72,35.7,80,17.3,115
2026-06-09,Mexico,Cancun,30.4,68,34.6,51,21.7,99
2026-06-10,Mexico,Cancun,26.1,91,30.2,55,16.2,120
2026-06-11,Mexico,Cancun,25.4,96,29.5,51,16.1,130
2026-06-12,Mexico,Cancun,28.2,79,32.3,53,22.6,113
2026-06-13,Mexico,Cancun,29.6,75,33.9,51,18.1,127
2026-06-14,Mexico,Cancun,26.5,90,31.9,3,7.0,93
2026-06-15,Mexico,Cancun,29.0,72,32.5,95,16.9,135
