date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Mexico,Guadalajara,33.5,14,34.9,0,1.8,259
2026-05-17,Mexico,Guadalajara,19.5,58,19.4,2,3.2,243
2026-05-17,Mexico,Guadalajara,19.9,53,19.6,3,2.5,240
2026-05-17,Mexico,Guadalajara,22.0,44,21.4,2,1.9,197
2026-05-18,Mexico,Guadalajara,29.5,30,31.5,0,3.0,115
2026-05-19,Mexico,Guadalajara,30.0,29,31.6,1,3.9,103
2026-05-20,Mexico,Guadalajara,30.2,30,32.7,1,3.9,106
2026-05-21,Mexico,Guadalajara,29.0,27,30.8,1,2.0,95
2026-05-22,Mexico,Guadalajara,28.3,35,30.2,2,3.1,190
2026-05-23,Mexico,Guadalajara,20.2,68,21.2,0,3.2,251
2026-05-24,Mexico,Guadalajara,19.8,56,19.7,2,1.5,225
2026-05-25,Mexico,Guadalajara,28.0,28,29.7,1,1.1,9
2026-05-26,Mexico,Guadalajara,30.2,24,32.2,0,3.5,102
2026-05-27,Mexico,Guadalajara,30.6,24,32.7,3,0.6,124
2026-05-28,Mexico,Guadalajara,31.2,15,31.7,0,5.2,29
2026-05-29,Mexico,Guadalajara,31.6,18,33.4,0,1.5,120
2026-05-30,Mexico,Guadalajara,20.1,47,19.1,0,3.8,287
2026-05-31,Mexico,Guadalajara,24.2,59,25.5,0,4.5,203
2026-06-01,Mexico,Guadalajara,29.4,38,31.7,1,1.1,90
2026-06-02,Mexico,Guadalajara,28.4,43,31.7,0,4.3,24
2026-06-03,Mexico,Guadalajara,26.5,57,30.9,1,2.6,219
2026-06-04,Mexico,Guadalajara,25.4,54,29.7,0,1.0,112
2026-06-05,Mexico,Guadalajara,22.9,65,26.6,1,2.3,108
2026-06-06,Mexico,Guadalajara,17.0,94,18.8,2,2.1,255
2026-06-07,Mexico,Guadalajara,19.5,77,21.0,2,1.4,90
2026-06-08,Mexico,Guadalajara,24.4,56,27.8,3,2.3,108
2026-06-09,Mexico,Guadalajara,25.5,51,26.3,3,12.3,104
2026-06-10,Mexico,Guadalajara,23.3,69,26.3,2,2.7,152
2026-06-11,Mexico,Guadalajara,25.6,56,29.9,0,3.1,97
2026-06-12,Mexico,Guadalajara,24.5,61,28.5,0,2.3,113
2026-06-13,Mexico,Guadalajara,20.3,81,22.3,3,2.5,90
2026-06-14,Mexico,Guadalajara,17.9,94,20.0,61,2.3,225
2026-06-15,Mexico,Guadalajara,19.9,83,21.9,3,2.6,231
2026-06-16,Mexico,Guadalajara,18.0,94,20.0,1,2.9,259
2026-06-17,Mexico,Guadalajara,18.4,87,20.3,3,1.6,297
2026-06-18,Mexico,Guadalajara,17.8,91,19.5,0,3.7,281
2026-06-19,Mexico,Guadalajara,17.8,97,20.0,3,2.3,241
2026-06-20,Mexico,Guadalajara,17.6,96,19.6,53,3.1,193
2026-06-21,Mexico,Guadalajara,17.8,97,20.2,3,1.2,153
2026-06-22,Mexico,Guadalajara,18.2,93,20.4,3,1.7,108
2026-06-23,Mexico,Guadalajara,17.1,98,19.1,3,2.6,34
2026-06-24,Mexico,Guadalajara,17.3,97,19.3,1,2.4,351
2026-06-25,Mexico,Guadalajara,16.9,95,18.9,1,0.4,243
2026-06-26,Mexico,Guadalajara,18.0,94,20.0,1,3.1,7
2026-06-27,Mexico,Guadalajara,17.7,89,19.6,1,0.9,127
2026-06-29,Mexico,Guadalajara,16.4,100,18.5,3,0.6,108
2026-06-30,Mexico,Guadalajara,18.2,86,20.0,0,1.4,130
2026-07-01,Mexico,Guadalajara,17.1,97,19.3,3,0.9,79
2026-07-02,Mexico,Guadalajara,17.3,92,19.3,51,0.0,270
2026-07-03,Mexico,Guadalajara,16.9,97,19.0,3,1.2,63
2026-07-04,Mexico,Guadalajara,18.0,88,19.9,0,1.4,90
2026-07-05,Mexico,Guadalajara,17.8,99,20.3,3,1.5,144
2026-07-06,Mexico,Guadalajara,18.2,94,20.5,3,2.0,117
2026-07-07,Mexico,Guadalajara,18.0,92,20.0,3,2.1,142
2026-07-08,Mexico,Guadalajara,18.4,87,20.3,3,1.5,76
2026-07-09,Mexico,Guadalajara,16.6,92,18.1,2,1.9,49
2026-07-10,Mexico,Guadalajara,17.7,96,19.9,1,1.7,347
2026-07-11,Mexico,Guadalajara,18.0,93,20.3,0,0.6,304
