date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Mexico,Mexico City,30.0,14,30.3,1,5.4,206
2026-05-17,Mexico,Mexico City,15.8,77,16.0,0,2.2,90
2026-05-17,Mexico,Mexico City,16.1,74,16.5,0,0.8,63
2026-05-17,Mexico,Mexico City,18.9,57,18.7,0,2.0,175
2026-05-18,Mexico,Mexico City,25.5,34,26.9,0,4.6,206
2026-05-19,Mexico,Mexico City,26.4,32,27.4,1,5.4,217
2026-05-20,Mexico,Mexico City,25.6,37,28.1,2,3.0,287
2026-05-21,Mexico,Mexico City,25.2,31,25.8,51,4.9,303
2026-05-22,Mexico,Mexico City,22.9,39,24.5,0,0.9,169
2026-05-23,Mexico,Mexico City,14.0,87,14.2,1,2.7,42
2026-05-24,Mexico,Mexico City,13.1,98,13.5,3,3.2,47
2026-05-25,Mexico,Mexico City,22.8,41,23.8,0,3.5,285
2026-05-26,Mexico,Mexico City,22.8,49,25.5,2,3.6,240
2026-05-27,Mexico,Mexico City,22.0,48,22.4,51,10.6,260
2026-05-28,Mexico,Mexico City,24.9,29,25.0,51,8.3,4
2026-05-29,Mexico,Mexico City,26.2,19,26.8,0,5.0,325
2026-05-30,Mexico,Mexico City,14.2,70,13.6,0,1.5,7
2026-05-31,Mexico,Mexico City,17.9,62,17.8,1,1.3,124
2026-06-01,Mexico,Mexico City,27.2,23,26.0,3,2.5,21
2026-06-02,Mexico,Mexico City,27.8,24,28.8,1,1.8,336
2026-06-03,Mexico,Mexico City,24.2,47,25.2,1,5.9,200
2026-06-04,Mexico,Mexico City,22.4,54,25.2,3,4.5,209
2026-06-05,Mexico,Mexico City,20.4,57,22.2,1,3.4,223
2026-06-06,Mexico,Mexico City,14.3,95,15.1,3,1.5,36
2026-06-07,Mexico,Mexico City,17.7,76,18.6,2,0.9,37
2026-06-08,Mexico,Mexico City,22.9,54,24.6,53,2.2,42
2026-06-09,Mexico,Mexico City,18.4,73,19.3,3,1.8,180
