date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Mexico,Monterrey,30.7,59,34.6,3,17.7,84
2026-05-17,Mexico,Monterrey,22.4,91,26.3,3,3.0,14
2026-05-17,Mexico,Monterrey,21.8,91,25.4,3,2.3,231
2026-05-17,Mexico,Monterrey,23.6,81,27.2,3,2.7,337
2026-05-18,Mexico,Monterrey,29.8,70,35.8,95,11.4,77
2026-05-19,Mexico,Monterrey,29.4,72,33.5,95,13.8,84
2026-05-20,Mexico,Monterrey,25.4,73,26.6,2,20.5,100
2026-05-21,Mexico,Monterrey,26.1,72,31.0,2,8.6,75
2026-05-22,Mexico,Monterrey,30.7,42,33.4,0,10.8,90
2026-05-23,Mexico,Monterrey,22.7,90,26.3,2,5.1,315
2026-05-24,Mexico,Monterrey,22.3,78,24.6,0,4.6,225
2026-05-25,Mexico,Monterrey,28.4,58,31.7,0,14.2,83
