date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Morocco,Casablanca,18.3,78,18.4,2,9.0,331
2026-05-17,Morocco,Casablanca,20.1,64,19.6,3,10.8,339
2026-05-17,Morocco,Casablanca,20.3,65,20.3,2,11.5,340
2026-05-17,Morocco,Casablanca,20.1,66,20.3,3,13.0,341
2026-05-18,Morocco,Casablanca,18.7,64,17.3,1,13.0,3
2026-05-19,Morocco,Casablanca,20.3,68,19.7,3,14.1,19
2026-05-20,Morocco,Casablanca,24.4,56,24.6,0,10.7,33
2026-05-21,Morocco,Casablanca,30.6,31,29.2,0,13.1,37
2026-05-22,Morocco,Casablanca,28.9,41,29.0,1,9.1,304
2026-05-23,Morocco,Casablanca,32.3,31,34.8,1,7.4,346
2026-05-24,Morocco,Casablanca,31.4,37,34.3,0,9.1,342
2026-05-25,Morocco,Casablanca,32.8,31,32.3,0,11.4,24
2026-05-26,Morocco,Casablanca,30.8,35,30.5,0,9.8,28
2026-05-27,Morocco,Casablanca,25.0,69,26.9,0,9.9,289
2026-05-28,Morocco,Casablanca,21.3,74,22.5,2,7.7,298
2026-05-29,Morocco,Casablanca,21.8,75,23.2,2,7.7,332
2026-05-30,Morocco,Casablanca,24.2,67,27.4,2,10.7,327
2026-05-31,Morocco,Casablanca,26.5,58,29.2,0,11.8,340
2026-06-01,Morocco,Casablanca,20.5,88,22.9,2,4.9,343
2026-06-02,Morocco,Casablanca,20.7,84,22.4,2,8.0,10
2026-06-03,Morocco,Casablanca,20.4,82,22.0,2,6.5,19
2026-06-04,Morocco,Casablanca,21.2,77,21.6,2,14.1,354
2026-06-05,Morocco,Casablanca,20.9,67,20.4,2,13.7,357
2026-06-06,Morocco,Casablanca,24.6,57,27.1,2,12.2,2
2026-06-07,Morocco,Casablanca,25.0,69,27.8,2,12.0,319
2026-06-08,Morocco,Casablanca,22.1,80,23.5,2,12.3,3
2026-06-09,Morocco,Casablanca,21.9,77,23.1,2,10.9,343
2026-06-10,Morocco,Casablanca,22.5,81,25.0,2,6.3,336
2026-06-11,Morocco,Casablanca,23.2,78,25.9,2,4.8,283
2026-06-12,Morocco,Casablanca,22.6,77,24.4,2,9.0,307
2026-06-13,Morocco,Casablanca,23.7,68,25.8,1,10.3,324
2026-06-14,Morocco,Casablanca,24.9,54,27.4,1,9.4,274
2026-06-15,Morocco,Casablanca,24.4,65,26.6,2,13.2,343
2026-06-16,Morocco,Casablanca,24.6,60,27.2,2,12.2,336
2026-06-17,Morocco,Casablanca,26.1,63,29.8,2,11.2,310
2026-06-18,Morocco,Casablanca,26.8,60,29.7,3,13.6,287
2026-06-19,Morocco,Casablanca,25.7,68,28.8,2,14.5,289
2026-06-20,Morocco,Casablanca,24.4,77,26.8,2,10.7,303
2026-06-21,Morocco,Casablanca,26.6,67,31.0,1,10.5,311
2026-06-22,Morocco,Casablanca,25.5,67,29.1,3,11.3,333
2026-06-23,Morocco,Casablanca,25.9,61,29.3,2,9.7,309
2026-06-24,Morocco,Casablanca,26.5,57,29.6,1,7.9,317
2026-06-25,Morocco,Casablanca,25.6,55,28.4,2,9.4,320
2026-06-26,Morocco,Casablanca,25.8,61,29.1,1,11.6,5
2026-06-27,Morocco,Casablanca,25.9,61,28.3,2,12.3,7
2026-06-29,Morocco,Casablanca,27.9,57,31.6,0,13.7,5
2026-06-30,Morocco,Casablanca,27.6,60,31.9,0,10.4,340
2026-07-01,Morocco,Casablanca,31.5,42,35.0,0,10.7,14
2026-07-02,Morocco,Casablanca,34.0,44,39.6,0,5.4,312
2026-07-03,Morocco,Casablanca,35.3,35,39.4,0,6.8,360
2026-07-04,Morocco,Casablanca,34.0,35,37.2,1,7.1,330
2026-07-05,Morocco,Casablanca,32.2,53,37.8,0,6.8,335
2026-07-06,Morocco,Casablanca,33.0,48,38.5,0,9.4,342
2026-07-07,Morocco,Casablanca,30.9,56,36.3,0,9.4,337
2026-07-08,Morocco,Casablanca,29.9,51,34.1,0,7.5,325
2026-07-09,Morocco,Casablanca,27.7,60,32.3,0,9.7,329
2026-07-10,Morocco,Casablanca,26.2,51,28.4,2,9.3,324
2026-07-11,Morocco,Casablanca,25.5,56,26.8,3,5.9,284
2026-07-12,Morocco,Casablanca,26.4,53,27.9,2,6.4,322
2026-07-13,Morocco,Casablanca,26.5,62,30.0,1,11.9,357
2026-07-14,Morocco,Casablanca,25.9,62,29.0,2,8.6,358
2026-07-15,Morocco,Casablanca,25.5,67,27.8,2,12.3,21
2026-07-16,Morocco,Casablanca,26.3,63,29.1,2,12.5,12
2026-07-17,Morocco,Casablanca,26.7,67,29.9,1,12.8,16
2026-07-18,Morocco,Casablanca,24.7,64,26.3,3,7.6,355
2026-07-19,Morocco,Casablanca,24.7,70,27.0,3,10.1,6
2026-07-20,Morocco,Casablanca,25.7,64,28.8,1,12.3,3
2026-07-21,Morocco,Casablanca,25.2,68,27.9,2,10.3,12
2026-07-22,Morocco,Casablanca,25.7,67,29.0,2,10.1,6
