date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Morocco,Fes,19.9,45,18.8,2,3.5,156
2026-05-17,Morocco,Fes,22.2,46,22.4,3,8.7,315
2026-05-17,Morocco,Fes,22.7,43,22.7,3,10.2,309
2026-05-17,Morocco,Fes,22.7,44,21.4,3,11.3,301
2026-05-18,Morocco,Fes,23.4,38,21.7,0,8.6,303
2026-05-19,Morocco,Fes,27.5,33,26.3,1,8.1,291
2026-05-20,Morocco,Fes,33.5,14,30.8,1,6.9,351
2026-05-21,Morocco,Fes,35.7,12,32.6,0,9.0,2
2026-05-22,Morocco,Fes,37.5,14,35.8,3,4.1,345
2026-05-23,Morocco,Fes,35.2,23,36.8,1,8.5,36
2026-05-24,Morocco,Fes,33.3,19,32.6,0,15.7,58
2026-05-25,Morocco,Fes,35.1,12,30.9,0,16.2,58
2026-05-26,Morocco,Fes,32.0,17,28.0,0,17.3,67
2026-05-27,Morocco,Fes,33.8,19,32.2,0,5.8,330
2026-05-28,Morocco,Fes,30.3,31,28.8,0,13.1,302
2026-05-29,Morocco,Fes,30.3,46,31.5,0,10.4,304
2026-05-30,Morocco,Fes,33.5,15,33.4,0,9.2,21
