date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Morocco,Marrakech,21.4,37,19.8,1,4.2,59
2026-05-17,Morocco,Marrakech,22.0,44,22.1,2,5.4,20
2026-05-17,Morocco,Marrakech,22.8,41,23.2,3,4.0,10
2026-05-17,Morocco,Marrakech,24.5,37,25.0,2,6.5,354
2026-05-18,Morocco,Marrakech,25.7,33,23.8,1,9.7,45
2026-05-19,Morocco,Marrakech,32.3,23,30.1,1,12.7,47
2026-05-20,Morocco,Marrakech,37.0,9,33.1,2,10.5,82
2026-05-21,Morocco,Marrakech,37.6,10,34.1,0,9.7,59
2026-05-22,Morocco,Marrakech,38.3,8,34.5,3,9.7,358
2026-05-23,Morocco,Marrakech,38.8,8,37.5,0,10.5,301
2026-05-24,Morocco,Marrakech,38.8,10,38.7,1,6.6,9
2026-05-25,Morocco,Marrakech,34.6,18,31.0,3,19.4,180
2026-05-26,Morocco,Marrakech,36.1,12,32.9,3,9.8,298
2026-05-27,Morocco,Marrakech,35.2,18,33.1,3,9.0,331
2026-05-28,Morocco,Marrakech,28.7,40,28.1,1,12.2,317
2026-05-29,Morocco,Marrakech,30.6,35,30.4,0,8.7,336
2026-05-30,Morocco,Marrakech,31.5,38,35.0,0,7.2,342
2026-05-31,Morocco,Marrakech,37.2,25,38.9,1,8.6,358
2026-06-01,Morocco,Marrakech,27.3,41,27.4,0,5.4,8
2026-06-02,Morocco,Marrakech,27.6,39,26.9,1,10.2,8
2026-06-03,Morocco,Marrakech,27.2,40,26.5,0,9.9,10
2026-06-04,Morocco,Marrakech,32.9,34,32.3,3,15.5,5
2026-06-05,Morocco,Marrakech,31.0,30,29.9,2,9.8,24
2026-06-06,Morocco,Marrakech,30.3,31,32.4,0,7.7,11
2026-06-07,Morocco,Marrakech,35.3,26,36.8,0,7.8,338
2026-06-08,Morocco,Marrakech,34.5,29,34.0,1,12.0,16
2026-06-09,Morocco,Marrakech,33.5,27,32.6,0,9.7,345
2026-06-10,Morocco,Marrakech,32.2,28,31.3,0,9.4,342
2026-06-11,Morocco,Marrakech,31.5,30,30.5,1,10.1,333
2026-06-12,Morocco,Marrakech,35.0,24,33.5,0,12.8,286
2026-06-13,Morocco,Marrakech,36.5,19,35.2,3,12.0,291
2026-06-14,Morocco,Marrakech,28.7,39,31.2,3,7.4,317
2026-06-15,Morocco,Marrakech,32.5,31,34.2,1,8.6,345
2026-06-16,Morocco,Marrakech,29.9,38,32.4,1,9.2,339
2026-06-17,Morocco,Marrakech,28.9,39,31.3,0,9.7,297
2026-06-18,Morocco,Marrakech,28.7,49,32.3,1,9.5,299
2026-06-19,Morocco,Marrakech,28.8,46,32.2,0,8.7,308
2026-06-20,Morocco,Marrakech,26.7,52,29.6,2,6.9,317
2026-06-21,Morocco,Marrakech,29.6,50,34.2,0,5.5,328
2026-06-22,Morocco,Marrakech,35.1,34,38.3,2,9.5,331
2026-06-23,Morocco,Marrakech,27.4,54,30.7,3,9.5,295
2026-06-24,Morocco,Marrakech,26.3,53,30.0,1,5.5,302
2026-06-25,Morocco,Marrakech,27.2,46,30.5,0,5.6,315
2026-06-26,Morocco,Marrakech,29.8,42,33.1,0,7.3,351
2026-06-27,Morocco,Marrakech,28.3,46,31.3,0,6.0,335
2026-06-29,Morocco,Marrakech,38.6,24,41.3,3,8.8,351
2026-06-30,Morocco,Marrakech,35.6,26,38.3,0,6.3,347
2026-07-01,Morocco,Marrakech,37.4,25,40.3,0,7.2,6
2026-07-02,Morocco,Marrakech,39.2,13,39.5,0,7.4,346
2026-07-03,Morocco,Marrakech,41.3,10,41.1,1,7.6,31
2026-07-04,Morocco,Marrakech,39.0,13,39.2,1,5.0,339
2026-07-05,Morocco,Marrakech,38.8,16,40.2,0,3.3,6
2026-07-06,Morocco,Marrakech,43.0,6,42.9,0,4.7,23
2026-07-07,Morocco,Marrakech,39.5,16,40.8,0,7.0,325
2026-07-08,Morocco,Marrakech,35.7,21,36.8,0,6.6,315
2026-07-09,Morocco,Marrakech,36.6,11,36.5,0,6.6,338
2026-07-10,Morocco,Marrakech,27.4,49,30.5,1,8.4,317
2026-07-11,Morocco,Marrakech,24.6,50,26.7,0,2.9,330
2026-07-12,Morocco,Marrakech,25.3,50,27.8,0,3.6,323
2026-07-13,Morocco,Marrakech,29.8,42,33.5,0,5.9,322
2026-07-14,Morocco,Marrakech,27.8,49,30.7,2,4.1,322
