date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Morocco,Tangier,19.2,72,19.7,2,5.8,263
2026-05-17,Morocco,Tangier,21.3,61,21.8,3,14.1,266
2026-05-17,Morocco,Tangier,21.7,56,22.5,3,14.3,280
2026-05-17,Morocco,Tangier,20.9,55,20.3,3,16.8,293
2026-05-18,Morocco,Tangier,18.8,65,17.8,1,11.7,313
2026-05-19,Morocco,Tangier,21.1,56,20.3,3,9.5,351
2026-05-20,Morocco,Tangier,25.1,33,22.0,0,17.0,86
2026-05-21,Morocco,Tangier,24.6,37,20.7,0,24.8,81
2026-05-22,Morocco,Tangier,25.9,41,23.3,0,21.8,82
2026-05-23,Morocco,Tangier,28.1,34,26.2,3,25.2,91
2026-05-24,Morocco,Tangier,27.0,37,25.1,2,28.1,89
2026-05-25,Morocco,Tangier,25.8,44,23.3,1,22.9,83
2026-05-26,Morocco,Tangier,24.3,41,21.5,0,19.7,82
2026-05-27,Morocco,Tangier,24.8,39,21.9,0,19.6,83
2026-05-28,Morocco,Tangier,25.0,50,26.0,0,2.0,225
2026-05-29,Morocco,Tangier,26.2,30,24.0,0,10.7,40
2026-05-30,Morocco,Tangier,26.3,49,28.7,0,11.4,349
2026-05-31,Morocco,Tangier,27.7,44,29.2,0,11.2,356
2026-06-01,Morocco,Tangier,20.5,79,22.4,0,3.2,180
2026-06-02,Morocco,Tangier,20.2,84,22.1,0,5.9,218
2026-06-03,Morocco,Tangier,20.5,70,22.0,0,1.1,18
2026-06-04,Morocco,Tangier,21.9,66,21.9,0,12.6,268
