date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Netherlands,Amsterdam,11.4,52,8.1,0,10.1,255
2026-05-17,Netherlands,Amsterdam,14.3,72,11.6,3,17.6,209
2026-05-17,Netherlands,Amsterdam,14.7,71,11.4,3,21.6,215
2026-05-17,Netherlands,Amsterdam,14.0,79,12.4,63,12.2,235
2026-05-18,Netherlands,Amsterdam,14.1,60,11.6,0,11.2,257
2026-05-19,Netherlands,Amsterdam,14.1,85,12.1,3,16.9,185
2026-05-20,Netherlands,Amsterdam,16.8,56,13.8,3,16.9,244
2026-05-21,Netherlands,Amsterdam,19.9,51,17.8,2,13.3,259
2026-05-22,Netherlands,Amsterdam,25.1,41,24.0,3,9.7,95
2026-05-23,Netherlands,Amsterdam,30.1,36,31.2,0,11.2,232
2026-05-24,Netherlands,Amsterdam,24.3,41,24.5,2,11.2,58
2026-05-25,Netherlands,Amsterdam,27.1,30,24.9,0,11.2,62
2026-05-26,Netherlands,Amsterdam,29.4,32,27.8,0,13.0,10
2026-05-27,Netherlands,Amsterdam,18.8,49,15.6,3,18.0,37
2026-05-28,Netherlands,Amsterdam,22.4,43,20.8,1,9.7,86
2026-05-29,Netherlands,Amsterdam,21.3,56,20.8,3,7.9,9
2026-05-30,Netherlands,Amsterdam,25.1,36,24.5,3,11.2,78
2026-05-31,Netherlands,Amsterdam,21.8,54,19.9,3,17.6,277
2026-06-01,Netherlands,Amsterdam,19.0,61,18.1,3,8.6,200
2026-06-02,Netherlands,Amsterdam,16.4,81,14.6,3,19.1,235
2026-06-03,Netherlands,Amsterdam,15.4,89,12.7,3,25.9,188
2026-06-04,Netherlands,Amsterdam,15.9,78,12.7,53,26.6,237
2026-06-05,Netherlands,Amsterdam,19.3,47,17.2,0,10.4,258
