date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Netherlands,Eindhoven,11.4,59,8.7,3,8.6,230
2026-05-17,Netherlands,Eindhoven,14.8,68,12.4,3,15.1,213
2026-05-17,Netherlands,Eindhoven,15.4,70,13.8,3,11.5,214
2026-05-17,Netherlands,Eindhoven,14.7,73,13.0,3,11.5,219
2026-05-18,Netherlands,Eindhoven,12.0,79,10.7,2,5.8,226
2026-05-19,Netherlands,Eindhoven,14.9,77,12.6,3,17.6,192
2026-05-20,Netherlands,Eindhoven,15.9,77,15.1,3,9.4,268
2026-05-21,Netherlands,Eindhoven,21.6,50,20.9,0,6.8,293
2026-05-22,Netherlands,Eindhoven,26.9,36,25.8,2,8.6,140
2026-05-23,Netherlands,Eindhoven,29.7,35,31.2,0,7.9,228
2026-05-24,Netherlands,Eindhoven,27.3,40,28.4,3,9.4,34
2026-05-25,Netherlands,Eindhoven,28.7,33,27.8,3,7.6,50
2026-05-26,Netherlands,Eindhoven,29.7,29,28.5,0,8.3,24
2026-05-27,Netherlands,Eindhoven,24.2,38,22.0,0,13.0,47
2026-05-28,Netherlands,Eindhoven,24.2,33,22.0,3,9.7,64
2026-05-29,Netherlands,Eindhoven,26.7,56,27.7,3,10.4,311
2026-05-30,Netherlands,Eindhoven,26.7,36,28.6,2,0.7,248
2026-05-31,Netherlands,Eindhoven,23.1,46,20.1,3,22.3,267
2026-06-01,Netherlands,Eindhoven,20.7,57,20.1,3,8.6,174
2026-06-02,Netherlands,Eindhoven,16.9,78,15.9,3,13.7,233
2026-06-03,Netherlands,Eindhoven,15.5,90,13.9,3,19.8,189
