date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Netherlands,Rotterdam,11.7,58,8.3,0,13.3,240
2026-05-17,Netherlands,Rotterdam,14.0,77,11.5,3,17.3,212
2026-05-17,Netherlands,Rotterdam,14.1,72,11.2,51,19.1,234
2026-05-17,Netherlands,Rotterdam,14.9,74,13.3,3,11.9,207
2026-05-18,Netherlands,Rotterdam,14.4,56,11.8,2,10.4,239
2026-05-19,Netherlands,Rotterdam,13.6,87,11.1,51,20.5,188
2026-05-20,Netherlands,Rotterdam,16.2,73,13.6,3,20.9,249
2026-05-21,Netherlands,Rotterdam,20.8,54,20.0,3,7.6,224
2026-05-22,Netherlands,Rotterdam,26.8,30,25.2,2,6.8,198
2026-05-23,Netherlands,Rotterdam,29.2,41,30.6,0,12.6,232
2026-05-24,Netherlands,Rotterdam,27.3,36,28.2,2,7.9,19
2026-05-25,Netherlands,Rotterdam,28.8,33,27.1,2,13.0,3
