date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Netherlands,The Hague,12.1,59,8.7,0,14.0,236
2026-05-17,Netherlands,The Hague,13.4,79,10.9,3,16.6,224
2026-05-17,Netherlands,The Hague,13.9,72,11.0,3,18.0,229
2026-05-17,Netherlands,The Hague,15.2,67,13.4,3,13.3,252
2026-05-18,Netherlands,The Hague,14.4,54,11.7,0,10.8,242
2026-05-19,Netherlands,The Hague,13.3,89,10.8,3,20.9,189
2026-05-20,Netherlands,The Hague,15.4,78,12.9,3,20.5,239
2026-05-21,Netherlands,The Hague,19.4,59,18.4,3,9.4,254
2026-05-22,Netherlands,The Hague,23.9,42,22.7,2,8.6,1
2026-05-23,Netherlands,The Hague,28.2,39,28.3,0,16.2,259
2026-05-24,Netherlands,The Hague,24.4,45,24.9,1,11.9,345
2026-05-25,Netherlands,The Hague,25.4,35,23.5,2,10.8,359
2026-05-26,Netherlands,The Hague,22.9,50,21.5,0,13.7,357
2026-05-27,Netherlands,The Hague,22.0,39,18.9,0,16.2,73
2026-05-28,Netherlands,The Hague,25.3,29,22.1,0,15.1,118
2026-05-29,Netherlands,The Hague,20.8,54,20.6,3,4.0,17
2026-05-30,Netherlands,The Hague,24.8,38,24.0,0,15.1,7
2026-05-31,Netherlands,The Hague,18.4,69,16.7,3,17.6,275
2026-06-01,Netherlands,The Hague,18.9,61,17.8,3,10.1,210
2026-06-02,Netherlands,The Hague,16.3,81,14.3,0,20.2,227
2026-06-03,Netherlands,The Hague,15.6,91,13.4,3,24.5,201
2026-06-04,Netherlands,The Hague,16.1,77,12.6,1,28.4,237
2026-06-05,Netherlands,The Hague,17.8,63,16.3,3,12.2,260
2026-06-06,Netherlands,The Hague,17.1,66,14.9,3,16.6,166
2026-06-07,Netherlands,The Hague,18.5,62,15.9,3,20.5,242
2026-06-08,Netherlands,The Hague,15.1,80,12.3,3,22.7,257
2026-06-09,Netherlands,The Hague,15.7,68,11.9,2,25.6,246
2026-06-10,Netherlands,The Hague,14.2,63,12.0,1,9.7,254
2026-06-11,Netherlands,The Hague,11.9,89,9.3,53,18.7,192
2026-06-12,Netherlands,The Hague,16.6,91,14.8,2,23.8,232
2026-06-13,Netherlands,The Hague,18.0,56,14.6,2,21.2,271
2026-06-14,Netherlands,The Hague,15.8,65,12.6,3,20.5,307
2026-06-15,Netherlands,The Hague,17.7,51,16.2,3,9.4,328
2026-06-16,Netherlands,The Hague,21.6,51,21.7,1,11.5,332
2026-06-17,Netherlands,The Hague,21.5,68,20.4,3,19.8,244
2026-06-18,Netherlands,The Hague,23.7,60,25.8,1,10.1,285
2026-06-19,Netherlands,The Hague,33.7,39,35.9,0,15.1,180
2026-06-20,Netherlands,The Hague,23.3,68,25.7,0,11.5,271
2026-06-21,Netherlands,The Hague,26.8,57,29.0,3,13.0,354
2026-06-22,Netherlands,The Hague,27.9,47,28.2,3,10.8,33
2026-06-23,Netherlands,The Hague,28.2,43,29.5,3,10.4,350
2026-06-24,Netherlands,The Hague,34.2,33,36.0,0,11.9,334
2026-06-25,Netherlands,The Hague,32.4,41,34.7,0,14.0,79
2026-06-26,Netherlands,The Hague,37.7,29,39.8,1,12.2,228
2026-06-27,Netherlands,The Hague,25.1,70,27.8,55,5.4,46
2026-06-29,Netherlands,The Hague,22.4,48,22.6,0,13.0,329
2026-06-30,Netherlands,The Hague,19.7,59,19.2,3,6.1,302
2026-07-01,Netherlands,The Hague,23.1,57,24.3,0,13.0,317
2026-07-02,Netherlands,The Hague,19.7,81,18.1,3,26.3,255
2026-07-03,Netherlands,The Hague,20.4,52,20.1,1,14.8,296
2026-07-04,Netherlands,The Hague,21.5,66,20.3,3,19.4,265
2026-07-05,Netherlands,The Hague,18.3,86,17.6,3,18.7,297
2026-07-06,Netherlands,The Hague,23.9,59,23.7,3,19.8,254
2026-07-07,Netherlands,The Hague,22.9,59,22.0,3,19.1,294
2026-07-08,Netherlands,The Hague,21.4,67,21.1,3,13.3,313
2026-07-09,Netherlands,The Hague,24.8,54,26.2,0,13.0,334
2026-07-10,Netherlands,The Hague,27.9,43,29.5,1,10.4,68
2026-07-11,Netherlands,The Hague,24.3,63,25.8,0,14.0,4
2026-07-12,Netherlands,The Hague,27.5,45,28.0,3,11.5,49
2026-07-13,Netherlands,The Hague,24.1,62,25.3,0,18.0,1
2026-07-14,Netherlands,The Hague,27.9,45,28.6,0,15.8,70
2026-07-15,Netherlands,The Hague,28.6,33,28.2,0,13.7,73
2026-07-16,Netherlands,The Hague,25.6,52,27.1,3,9.4,2
2026-07-17,Netherlands,The Hague,22.2,60,22.8,2,13.7,331
2026-07-18,Netherlands,The Hague,17.6,71,16.2,3,14.4,321
2026-07-19,Netherlands,The Hague,20.0,47,17.7,1,19.4,342
