date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Netherlands,Utrecht,11.2,62,8.6,0,8.6,243
2026-05-17,Netherlands,Utrecht,14.5,70,11.8,3,16.9,219
2026-05-17,Netherlands,Utrecht,13.6,75,10.8,3,18.0,218
2026-05-17,Netherlands,Utrecht,15.2,66,12.8,3,14.0,217
2026-05-18,Netherlands,Utrecht,14.6,59,12.1,0,11.5,240
2026-05-19,Netherlands,Utrecht,14.5,82,12.8,51,15.1,182
2026-05-20,Netherlands,Utrecht,16.5,63,14.1,0,15.1,240
2026-05-21,Netherlands,Utrecht,20.6,50,18.9,1,10.8,275
2026-05-22,Netherlands,Utrecht,26.0,39,24.9,3,9.7,126
2026-05-23,Netherlands,Utrecht,29.7,38,30.8,0,11.9,230
2026-05-24,Netherlands,Utrecht,26.7,36,27.1,3,9.7,4
2026-05-25,Netherlands,Utrecht,28.9,22,26.1,2,10.8,19
2026-05-26,Netherlands,Utrecht,29.9,35,29.1,2,11.2,319
2026-05-27,Netherlands,Utrecht,20.7,40,17.7,3,14.8,27
2026-05-28,Netherlands,Utrecht,24.7,28,21.8,2,10.8,137
2026-05-29,Netherlands,Utrecht,22.0,55,22.0,3,5.8,330
2026-05-30,Netherlands,Utrecht,27.0,32,27.0,0,8.3,27
2026-05-31,Netherlands,Utrecht,22.0,55,20.1,3,18.0,277
2026-06-01,Netherlands,Utrecht,18.4,65,18.3,3,4.3,348
2026-06-02,Netherlands,Utrecht,16.2,80,15.0,3,14.4,233
2026-06-03,Netherlands,Utrecht,15.3,90,12.9,3,24.1,184
2026-06-04,Netherlands,Utrecht,16.8,68,13.9,3,21.6,235
2026-06-05,Netherlands,Utrecht,19.1,51,17.2,2,10.8,266
2026-06-06,Netherlands,Utrecht,18.7,53,16.2,3,15.5,176
2026-06-07,Netherlands,Utrecht,19.3,55,16.8,3,17.3,242
