date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,New Zealand,Auckland,8.6,83,5.9,0,11.3,173
2026-05-17,New Zealand,Auckland,11.6,82,9.5,0,12.3,150
2026-05-17,New Zealand,Auckland,11.4,82,9.2,0,12.0,152
2026-05-17,New Zealand,Auckland,10.8,78,8.4,0,11.5,160
2026-05-18,New Zealand,Auckland,9.9,91,8.1,2,9.7,181
2026-05-19,New Zealand,Auckland,13.2,89,11.4,0,15.9,93
2026-05-20,New Zealand,Auckland,14.1,85,12.7,0,13.4,95
2026-05-21,New Zealand,Auckland,14.2,86,12.7,0,14.7,101
2026-05-22,New Zealand,Auckland,14.8,86,13.7,3,12.6,118
2026-05-23,New Zealand,Auckland,15.1,84,13.4,3,16.4,117
2026-05-24,New Zealand,Auckland,13.9,82,11.9,1,15.1,116
2026-05-25,New Zealand,Auckland,8.8,98,7.2,3,8.1,204
2026-05-26,New Zealand,Auckland,10.1,94,9.0,3,6.1,168
2026-05-27,New Zealand,Auckland,9.8,100,8.9,3,5.4,270
2026-05-28,New Zealand,Auckland,11.4,97,11.3,3,3.1,180
2026-05-29,New Zealand,Auckland,13.1,94,11.9,3,13.1,92
2026-05-30,New Zealand,Auckland,16.7,79,13.8,1,26.7,33
2026-05-31,New Zealand,Auckland,17.7,86,14.9,51,31.3,28
2026-06-01,New Zealand,Auckland,18.0,91,18.5,1,11.7,306
2026-06-02,New Zealand,Auckland,13.6,96,13.3,51,9.1,218
2026-06-03,New Zealand,Auckland,13.8,87,12.4,1,13.0,346
2026-06-04,New Zealand,Auckland,16.5,89,15.1,3,19.7,352
2026-06-05,New Zealand,Auckland,14.6,87,12.5,2,19.6,312
2026-06-06,New Zealand,Auckland,13.9,83,11.9,51,16.2,228
2026-06-07,New Zealand,Auckland,13.6,76,11.2,1,15.2,221
2026-06-08,New Zealand,Auckland,14.3,63,9.6,2,27.5,212
2026-06-09,New Zealand,Auckland,8.2,71,4.9,0,12.2,172
2026-06-10,New Zealand,Auckland,6.2,97,4.2,3,6.5,203
2026-06-11,New Zealand,Auckland,9.0,93,7.9,3,3.6,261
2026-06-12,New Zealand,Auckland,8.7,95,7.2,3,6.5,199
2026-06-13,New Zealand,Auckland,9.0,98,8.2,3,3.4,238
2026-06-14,New Zealand,Auckland,11.4,96,10.4,3,8.4,289
2026-06-15,New Zealand,Auckland,12.1,85,10.2,2,12.4,326
2026-06-16,New Zealand,Auckland,12.1,76,9.6,0,13.4,230
2026-06-17,New Zealand,Auckland,10.7,94,9.9,1,4.3,312
2026-06-18,New Zealand,Auckland,13.5,76,10.9,2,16.4,215
2026-06-19,New Zealand,Auckland,7.2,100,6.1,3,2.9,202
2026-06-20,New Zealand,Auckland,12.7,90,10.9,3,13.9,323
2026-06-21,New Zealand,Auckland,13.4,90,12.5,1,10.3,251
2026-06-22,New Zealand,Auckland,12.6,89,10.8,2,14.4,102
2026-06-23,New Zealand,Auckland,15.6,79,13.0,3,21.8,42
2026-06-24,New Zealand,Auckland,14.2,87,11.5,2,22.9,359
2026-06-25,New Zealand,Auckland,10.6,82,8.3,95,11.2,259
2026-06-26,New Zealand,Auckland,11.3,87,9.1,2,13.4,185
2026-06-27,New Zealand,Auckland,12.5,89,11.1,2,10.5,184
2026-06-29,New Zealand,Auckland,9.3,80,6.4,0,12.4,172
