date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,New Zealand,Christchurch,6.8,89,4.9,2,4.8,29
2026-05-17,New Zealand,Christchurch,9.4,86,7.2,1,10.0,36
2026-05-17,New Zealand,Christchurch,9.4,87,7.2,3,10.7,37
2026-05-17,New Zealand,Christchurch,9.9,83,7.5,3,11.2,48
2026-05-18,New Zealand,Christchurch,4.9,100,3.6,3,1.0,239
2026-05-19,New Zealand,Christchurch,6.0,99,4.7,3,1.8,233
2026-05-20,New Zealand,Christchurch,13.3,62,8.9,3,23.7,31
2026-05-21,New Zealand,Christchurch,9.4,95,8.5,61,4.3,66
2026-05-22,New Zealand,Christchurch,7.8,97,6.1,2,6.8,228
2026-05-23,New Zealand,Christchurch,6.5,97,4.6,1,6.3,143
2026-05-24,New Zealand,Christchurch,9.9,90,7.7,1,12.4,64
2026-05-25,New Zealand,Christchurch,7.8,89,5.5,3,9.2,244
2026-05-26,New Zealand,Christchurch,5.8,89,3.8,0,3.6,131
2026-05-27,New Zealand,Christchurch,6.0,95,4.5,0,2.4,117
2026-05-28,New Zealand,Christchurch,5.3,100,3.7,3,3.2,128
2026-05-29,New Zealand,Christchurch,10.1,98,7.7,3,15.7,80
2026-05-30,New Zealand,Christchurch,11.1,73,7.9,3,15.2,13
2026-05-31,New Zealand,Christchurch,15.6,76,14.5,3,11.3,63
2026-06-01,New Zealand,Christchurch,14.4,91,14.2,3,8.6,92
2026-06-02,New Zealand,Christchurch,10.9,96,10.6,3,2.3,184
2026-06-03,New Zealand,Christchurch,11.1,82,8.7,1,13.7,55
2026-06-04,New Zealand,Christchurch,13.3,75,11.2,2,12.2,28
2026-06-05,New Zealand,Christchurch,9.0,92,7.3,2,7.3,237
