date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,New Zealand,Queenstown,3.9,100,2.4,3,0.2,360
2026-05-17,New Zealand,Queenstown,3.8,100,2.3,3,0.2,360
2026-05-17,New Zealand,Queenstown,3.9,100,2.3,3,0.4,27
2026-05-17,New Zealand,Queenstown,4.0,99,2.5,3,0.2,90
2026-05-18,New Zealand,Queenstown,4.2,100,2.7,3,1.1,18
2026-05-19,New Zealand,Queenstown,2.5,99,0.3,3,3.4,58
2026-05-20,New Zealand,Queenstown,9.0,90,8.2,61,0.8,135
2026-05-21,New Zealand,Queenstown,3.5,100,1.9,3,0.5,360
2026-05-22,New Zealand,Queenstown,3.9,100,2.4,3,0.6,326
2026-05-23,New Zealand,Queenstown,5.6,100,4.4,3,0.3,45
2026-05-24,New Zealand,Queenstown,4.3,100,2.8,2,0.9,37
2026-05-25,New Zealand,Queenstown,7.1,100,6.2,3,0.9,11
2026-05-26,New Zealand,Queenstown,4.2,99,2.2,3,3.5,21
2026-05-27,New Zealand,Queenstown,4.2,99,2.6,3,1.7,342
2026-05-28,New Zealand,Queenstown,3.4,100,1.6,3,1.2,51
2026-05-29,New Zealand,Queenstown,6.2,100,5.2,3,0.2,90
2026-05-30,New Zealand,Queenstown,8.4,91,7.2,3,3.1,87
