date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,New Zealand,Rotorua,7.5,93,5.3,1,9.6,196
2026-05-17,New Zealand,Rotorua,7.3,88,4.4,1,12.2,194
2026-05-17,New Zealand,Rotorua,7.4,89,4.5,0,12.4,193
2026-05-17,New Zealand,Rotorua,7.4,90,4.6,0,12.3,192
2026-05-18,New Zealand,Rotorua,8.4,95,6.3,1,10.1,182
2026-05-19,New Zealand,Rotorua,5.2,98,2.9,3,8.0,208
2026-05-20,New Zealand,Rotorua,7.0,94,5.4,3,4.8,205
2026-05-21,New Zealand,Rotorua,7.2,95,5.4,3,6.4,202
2026-05-22,New Zealand,Rotorua,9.9,88,8.2,3,8.0,200
2026-05-23,New Zealand,Rotorua,9.7,86,8.1,3,6.9,173
2026-05-24,New Zealand,Rotorua,7.9,92,5.7,0,9.5,178
2026-05-25,New Zealand,Rotorua,4.4,100,2.2,3,6.0,209
2026-05-26,New Zealand,Rotorua,6.2,95,3.7,3,9.6,194
2026-05-27,New Zealand,Rotorua,8.8,95,7.3,3,6.8,217
2026-05-28,New Zealand,Rotorua,6.2,94,4.2,3,6.1,214
2026-05-29,New Zealand,Rotorua,8.7,92,7.3,3,4.8,193
2026-05-30,New Zealand,Rotorua,11.1,94,8.7,2,16.6,30
2026-05-31,New Zealand,Rotorua,13.6,99,11.2,51,23.7,24
2026-06-01,New Zealand,Rotorua,15.5,99,13.3,63,27.1,23
2026-06-02,New Zealand,Rotorua,10.6,99,10.3,53,2.8,198
