date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Norway,Oslo,9.8,87,8.3,51,6.5,151
2026-05-17,Norway,Oslo,14.6,65,11.6,3,17.3,186
2026-05-17,Norway,Oslo,14.3,68,10.9,3,20.5,185
2026-05-17,Norway,Oslo,15.2,64,11.4,2,23.4,183
2026-05-18,Norway,Oslo,16.9,47,14.8,3,6.5,173
2026-05-19,Norway,Oslo,19.3,39,16.5,2,10.8,196
2026-05-20,Norway,Oslo,17.9,53,16.1,3,9.4,197
2026-05-21,Norway,Oslo,20.2,78,21.2,2,7.9,185
2026-05-22,Norway,Oslo,21.0,53,19.4,1,13.7,184
2026-05-23,Norway,Oslo,14.6,90,12.3,3,22.3,184
2026-05-24,Norway,Oslo,21.2,38,18.2,3,19.8,276
2026-05-25,Norway,Oslo,22.7,45,20.5,2,15.5,272
2026-05-26,Norway,Oslo,19.0,31,13.5,0,24.5,298
2026-05-27,Norway,Oslo,19.2,27,14.7,1,15.8,4
2026-05-28,Norway,Oslo,18.4,48,15.7,0,13.7,186
2026-05-29,Norway,Oslo,18.4,40,15.5,3,11.2,186
2026-05-30,Norway,Oslo,21.2,46,19.5,3,10.4,95
2026-05-31,Norway,Oslo,22.6,49,21.8,2,8.6,188
