date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Norway,Stavanger,10.7,72,8.2,3,10.1,269
2026-05-17,Norway,Stavanger,14.1,49,11.2,2,16.9,189
2026-05-17,Norway,Stavanger,14.3,51,11.2,2,17.3,183
2026-05-17,Norway,Stavanger,13.4,47,8.8,2,20.5,165
2026-05-18,Norway,Stavanger,10.0,95,8.7,61,7.6,57
2026-05-19,Norway,Stavanger,12.4,64,9.2,3,14.8,148
2026-05-20,Norway,Stavanger,14.4,79,12.5,3,14.8,161
2026-05-21,Norway,Stavanger,12.5,70,10.3,1,10.4,236
2026-05-22,Norway,Stavanger,17.7,73,16.0,3,18.4,191
2026-05-23,Norway,Stavanger,14.2,82,13.1,2,18.4,230
2026-05-24,Norway,Stavanger,17.3,62,15.8,3,13.3,225
2026-05-25,Norway,Stavanger,14.5,80,13.9,3,6.5,264
2026-05-26,Norway,Stavanger,11.5,74,7.4,3,23.4,321
2026-05-27,Norway,Stavanger,11.7,67,7.2,0,24.1,325
2026-05-28,Norway,Stavanger,14.0,58,11.7,0,8.3,253
2026-05-29,Norway,Stavanger,14.5,86,13.4,3,11.9,209
2026-05-30,Norway,Stavanger,13.0,92,11.9,3,11.5,295
2026-05-31,Norway,Stavanger,12.2,91,11.7,51,5.0,284
2026-06-01,Norway,Stavanger,12.0,86,10.3,51,11.2,154
2026-06-02,Norway,Stavanger,16.4,85,16.0,3,11.5,121
2026-06-03,Norway,Stavanger,13.2,90,10.7,3,20.2,160
2026-06-04,Norway,Stavanger,15.5,79,13.0,3,20.9,158
2026-06-05,Norway,Stavanger,13.6,85,12.3,3,11.2,234
2026-06-06,Norway,Stavanger,16.1,63,15.4,2,12.6,253
2026-06-07,Norway,Stavanger,17.8,72,15.7,3,20.5,195
2026-06-08,Norway,Stavanger,12.7,92,10.9,53,15.1,175
2026-06-09,Norway,Stavanger,13.1,80,10.8,3,15.5,277
2026-06-10,Norway,Stavanger,12.1,76,9.8,2,12.2,265
2026-06-11,Norway,Stavanger,13.1,77,10.5,2,16.6,190
2026-06-12,Norway,Stavanger,11.2,88,8.8,3,15.8,271
2026-06-13,Norway,Stavanger,14.1,73,10.5,2,24.1,311
2026-06-14,Norway,Stavanger,18.5,66,17.8,3,14.8,313
2026-06-15,Norway,Stavanger,15.7,61,13.0,0,19.1,311
2026-06-16,Norway,Stavanger,14.4,60,11.7,2,20.5,316
2026-06-17,Norway,Stavanger,11.6,81,9.5,55,12.2,185
2026-06-18,Norway,Stavanger,22.1,78,25.5,0,7.9,234
2026-06-19,Norway,Stavanger,24.1,76,23.9,2,26.6,160
2026-06-20,Norway,Stavanger,20.9,82,21.6,3,14.4,193
2026-06-21,Norway,Stavanger,18.9,74,19.6,1,13.7,262
2026-06-22,Norway,Stavanger,17.6,57,15.5,1,18.7,311
2026-06-23,Norway,Stavanger,17.2,57,14.9,3,13.7,185
2026-06-24,Norway,Stavanger,16.4,86,17.2,3,4.0,320
2026-06-25,Norway,Stavanger,20.5,65,20.6,1,15.5,320
2026-06-26,Norway,Stavanger,20.4,58,19.3,2,15.5,215
2026-06-27,Norway,Stavanger,25.7,68,26.7,3,18.0,188
2026-06-29,Norway,Stavanger,18.3,63,16.9,2,19.8,242
2026-06-30,Norway,Stavanger,20.5,52,20.0,2,10.8,255
2026-07-01,Norway,Stavanger,19.8,62,19.5,1,16.6,308
2026-07-02,Norway,Stavanger,15.8,90,15.3,3,12.6,165
2026-07-03,Norway,Stavanger,15.0,67,11.1,2,25.9,323
2026-07-04,Norway,Stavanger,17.9,59,16.6,1,8.6,258
2026-07-05,Norway,Stavanger,15.1,57,11.6,1,25.6,321
2026-07-06,Norway,Stavanger,16.4,62,14.9,2,11.2,277
2026-07-07,Norway,Stavanger,13.7,69,10.4,3,19.8,316
2026-07-08,Norway,Stavanger,16.9,69,14.3,3,20.2,314
2026-07-09,Norway,Stavanger,21.5,68,22.4,0,15.5,324
