date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Peru,Arequipa,22.8,17,19.2,0,13.9,266
2026-05-17,Peru,Arequipa,10.6,30,6.9,0,5.5,67
2026-05-17,Peru,Arequipa,15.3,23,11.7,0,4.5,74
2026-05-17,Peru,Arequipa,19.7,18,16.8,0,5.2,214
2026-05-18,Peru,Arequipa,23.5,15,21.0,0,11.6,274
2026-05-19,Peru,Arequipa,23.4,15,20.8,0,11.8,279
2026-05-20,Peru,Arequipa,23.7,15,20.8,0,12.5,286
2026-05-21,Peru,Arequipa,24.2,14,21.2,1,13.3,272
2026-05-22,Peru,Arequipa,23.4,18,20.9,1,11.9,273
2026-05-23,Peru,Arequipa,13.1,38,10.0,2,5.4,64
2026-05-24,Peru,Arequipa,12.3,83,10.6,53,10.7,70
2026-05-25,Peru,Arequipa,25.4,19,23.5,0,9.7,260
2026-05-26,Peru,Arequipa,24.4,23,21.2,0,17.4,292
