date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Peru,Cusco,18.0,31,15.8,2,7.5,310
2026-05-17,Peru,Cusco,4.4,95,2.7,2,1.5,201
2026-05-17,Peru,Cusco,7.0,73,5.2,0,0.4,117
2026-05-17,Peru,Cusco,12.6,51,11.4,1,1.9,29
2026-05-18,Peru,Cusco,17.8,31,16.6,1,5.3,308
2026-05-19,Peru,Cusco,18.7,25,18.4,0,2.2,360
2026-05-20,Peru,Cusco,18.6,31,17.4,1,5.8,346
2026-05-21,Peru,Cusco,17.6,29,16.1,1,7.3,327
2026-05-22,Peru,Cusco,16.4,36,14.5,51,9.8,325
2026-05-23,Peru,Cusco,5.8,82,3.9,1,1.7,198
