date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Peru,Lima,23.1,71,24.7,0,13.9,190
2026-05-17,Peru,Lima,20.2,80,21.7,3,6.4,135
2026-05-17,Peru,Lima,20.2,81,21.7,3,6.8,132
2026-05-17,Peru,Lima,21.8,74,23.7,3,3.2,128
2026-05-18,Peru,Lima,23.8,67,25.8,2,11.9,185
2026-05-19,Peru,Lima,22.6,68,23.5,2,16.4,177
2026-05-20,Peru,Lima,23.0,68,24.0,1,17.6,188
2026-05-21,Peru,Lima,23.2,68,24.7,2,15.9,202
2026-05-22,Peru,Lima,23.2,65,24.9,2,13.0,185
2026-05-23,Peru,Lima,19.3,79,19.9,3,8.9,115
2026-05-24,Peru,Lima,18.5,82,18.7,3,10.2,107
2026-05-25,Peru,Lima,22.9,70,24.6,3,11.7,217
2026-05-26,Peru,Lima,23.3,67,24.8,1,14.2,201
2026-05-27,Peru,Lima,22.9,70,24.4,3,13.9,191
2026-05-28,Peru,Lima,22.9,67,25.1,1,8.6,240
2026-05-29,Peru,Lima,23.4,68,25.4,0,11.3,193
2026-05-30,Peru,Lima,21.0,78,22.9,2,4.2,95
2026-05-31,Peru,Lima,24.2,67,25.8,3,9.4,179
2026-06-01,Peru,Lima,21.8,77,22.5,2,13.6,168
2026-06-02,Peru,Lima,22.0,76,22.7,3,13.3,164
2026-06-03,Peru,Lima,22.8,74,24.1,3,10.6,183
2026-06-04,Peru,Lima,23.5,71,25.7,0,12.6,204
2026-06-05,Peru,Lima,23.5,72,24.5,3,15.5,183
2026-06-06,Peru,Lima,20.3,81,21.8,0,6.2,123
2026-06-07,Peru,Lima,21.9,70,23.3,3,5.0,154
2026-06-08,Peru,Lima,22.8,70,24.6,0,12.5,221
2026-06-09,Peru,Lima,23.3,64,24.4,1,13.5,178
2026-06-10,Peru,Lima,22.9,65,23.2,0,17.6,165
2026-06-11,Peru,Lima,23.1,67,23.7,1,15.6,173
2026-06-12,Peru,Lima,23.0,69,24.8,2,13.9,211
2026-06-13,Peru,Lima,23.3,63,24.4,1,10.3,161
2026-06-14,Peru,Lima,18.8,89,20.3,2,6.4,68
2026-06-15,Peru,Lima,22.4,73,23.8,1,8.6,172
2026-06-16,Peru,Lima,20.7,79,22.1,1,6.5,90
2026-06-17,Peru,Lima,20.6,78,22.1,3,5.1,96
2026-06-18,Peru,Lima,20.0,81,20.7,1,11.3,124
2026-06-19,Peru,Lima,20.0,84,20.9,3,11.8,146
2026-06-20,Peru,Lima,18.7,84,19.0,2,11.5,104
2026-06-21,Peru,Lima,19.6,82,19.7,3,14.1,136
2026-06-22,Peru,Lima,21.5,70,23.1,2,2.1,15
2026-06-23,Peru,Lima,19.2,77,20.1,2,5.8,70
2026-06-24,Peru,Lima,18.9,80,19.4,3,8.7,127
2026-06-25,Peru,Lima,17.9,88,18.4,2,9.7,106
2026-06-26,Peru,Lima,18.1,85,18.8,2,7.1,111
2026-06-27,Peru,Lima,17.7,86,18.1,2,9.4,103
2026-06-29,Peru,Lima,19.6,75,21.1,2,1.5,194
2026-06-30,Peru,Lima,18.1,82,18.8,2,6.9,75
2026-07-01,Peru,Lima,19.2,81,20.0,3,7.9,111
2026-07-02,Peru,Lima,18.2,87,18.7,2,10.6,104
