date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Peru,Trujillo,24.2,72,26.3,0,16.6,190
2026-05-17,Peru,Trujillo,20.4,87,22.3,2,8.3,95
2026-05-17,Peru,Trujillo,21.6,83,23.4,2,9.4,122
2026-05-17,Peru,Trujillo,23.7,72,25.4,1,10.0,154
2026-05-18,Peru,Trujillo,24.9,68,26.7,0,19.8,187
2026-05-19,Peru,Trujillo,24.4,68,25.9,0,21.3,176
2026-05-20,Peru,Trujillo,24.0,68,26.1,0,15.9,185
2026-05-21,Peru,Trujillo,24.2,68,26.7,3,14.7,195
2026-05-22,Peru,Trujillo,24.1,69,25.7,1,18.2,187
2026-05-23,Peru,Trujillo,21.0,82,22.5,3,9.4,88
