date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Philippines,Boracay,27.3,85,32.6,51,8.0,28
2026-05-17,Philippines,Boracay,28.6,78,34.4,2,3.1,80
2026-05-17,Philippines,Boracay,28.4,80,34.3,3,3.9,74
2026-05-17,Philippines,Boracay,28.5,79,34.3,2,3.6,70
2026-05-18,Philippines,Boracay,27.2,85,32.3,53,8.2,29
2026-05-19,Philippines,Boracay,27.4,84,32.3,3,11.1,106
2026-05-20,Philippines,Boracay,27.9,82,32.5,3,12.4,87
2026-05-21,Philippines,Boracay,27.7,84,32.5,0,12.1,97
2026-05-22,Philippines,Boracay,28.2,83,32.9,1,14.2,108
2026-05-23,Philippines,Boracay,29.1,76,33.7,3,11.6,116
2026-05-24,Philippines,Boracay,29.3,75,34.7,1,6.2,168
2026-05-25,Philippines,Boracay,27.3,89,32.9,3,9.3,199
2026-05-26,Philippines,Boracay,27.6,86,33.5,0,5.4,214
2026-05-27,Philippines,Boracay,28.2,80,33.2,2,9.1,212
2026-05-28,Philippines,Boracay,28.3,79,32.9,1,11.5,247
2026-05-29,Philippines,Boracay,24.9,93,28.1,55,19.2,243
2026-05-30,Philippines,Boracay,28.3,78,31.7,3,18.4,246
2026-05-31,Philippines,Boracay,25.9,93,29.9,51,17.2,218
2026-06-01,Philippines,Boracay,25.1,96,29.6,3,13.0,185
2026-06-02,Philippines,Boracay,26.3,88,31.0,3,10.0,197
2026-06-03,Philippines,Boracay,26.3,88,30.7,3,12.8,183
2026-06-04,Philippines,Boracay,27.8,83,32.6,3,12.1,195
2026-06-05,Philippines,Boracay,27.1,89,32.6,3,8.9,194
2026-06-06,Philippines,Boracay,28.2,82,34.1,3,5.4,160
2026-06-07,Philippines,Boracay,27.5,86,33.2,1,7.2,180
2026-06-08,Philippines,Boracay,27.6,83,32.4,2,10.5,188
2026-06-09,Philippines,Boracay,26.0,94,31.2,0,10.7,189
2026-06-10,Philippines,Boracay,27.1,85,31.9,3,10.2,211
2026-06-11,Philippines,Boracay,26.0,98,32.5,51,4.0,172
2026-06-12,Philippines,Boracay,27.5,86,33.7,0,3.5,255
2026-06-13,Philippines,Boracay,25.6,96,31.0,1,8.3,224
2026-06-14,Philippines,Boracay,25.1,98,30.1,55,11.1,207
2026-06-15,Philippines,Boracay,27.7,84,34.2,0,0.4,360
2026-06-16,Philippines,Boracay,28.2,78,33.6,0,4.5,56
2026-06-17,Philippines,Boracay,28.8,74,32.8,0,13.2,102
2026-06-18,Philippines,Boracay,29.2,76,34.4,2,7.7,102
2026-06-19,Philippines,Boracay,27.7,86,34.0,2,3.2,236
2026-06-20,Philippines,Boracay,29.4,76,35.5,2,2.8,140
2026-06-21,Philippines,Boracay,27.5,85,31.9,1,14.3,205
2026-06-22,Philippines,Boracay,26.6,86,29.5,51,22.2,220
2026-06-23,Philippines,Boracay,26.0,91,30.0,3,17.0,211
2026-06-24,Philippines,Boracay,26.9,86,30.5,3,18.2,212
2026-06-25,Philippines,Boracay,28.2,79,32.2,2,15.9,227
2026-06-26,Philippines,Boracay,24.7,98,29.2,80,13.0,204
2026-06-27,Philippines,Boracay,28.0,82,33.0,2,10.1,200
2026-06-29,Philippines,Boracay,24.6,94,30.0,81,3.4,198
2026-06-30,Philippines,Boracay,24.8,96,28.5,53,17.2,218
2026-07-01,Philippines,Boracay,26.4,88,31.5,3,7.6,181
2026-07-02,Philippines,Boracay,26.6,92,33.4,3,0.5,270
2026-07-03,Philippines,Boracay,27.5,86,33.9,0,1.8,101
2026-07-04,Philippines,Boracay,27.6,83,33.1,1,5.7,118
2026-07-05,Philippines,Boracay,27.6,90,34.5,2,2.0,270
2026-07-06,Philippines,Boracay,27.2,88,33.5,0,3.5,219
2026-07-07,Philippines,Boracay,28.2,78,32.6,0,11.8,247
