date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Philippines,Cebu,26.5,67,30.0,3,3.0,346
2026-05-17,Philippines,Cebu,29.4,69,34.7,3,2.3,51
2026-05-17,Philippines,Cebu,29.1,73,34.7,3,2.5,60
2026-05-17,Philippines,Cebu,28.1,78,33.9,3,2.2,336
2026-05-18,Philippines,Cebu,26.8,99,34.4,3,1.8,336
2026-05-19,Philippines,Cebu,26.4,98,33.5,3,1.7,319
2026-05-20,Philippines,Cebu,26.4,96,33.3,3,1.6,6
2026-05-21,Philippines,Cebu,27.6,85,33.4,3,6.6,64
2026-05-22,Philippines,Cebu,27.3,87,33.4,3,4.5,83
2026-05-23,Philippines,Cebu,26.9,96,33.7,55,5.2,61
2026-05-24,Philippines,Cebu,27.7,92,35.1,3,1.7,167
2026-05-25,Philippines,Cebu,25.1,97,30.8,51,5.1,276
2026-05-26,Philippines,Cebu,25.7,97,32.2,3,2.6,295
2026-05-27,Philippines,Cebu,26.4,94,32.5,2,5.4,244
2026-05-28,Philippines,Cebu,26.5,91,32.5,3,4.8,318
2026-05-29,Philippines,Cebu,26.6,88,31.3,3,11.7,259
2026-05-30,Philippines,Cebu,27.9,81,32.2,3,13.5,256
2026-05-31,Philippines,Cebu,28.2,80,33.0,3,11.1,224
2026-06-01,Philippines,Cebu,26.6,90,32.7,3,3.7,284
2026-06-02,Philippines,Cebu,26.6,96,33.8,3,0.7,346
2026-06-03,Philippines,Cebu,26.6,89,31.9,3,8.3,236
