date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Philippines,Manila,26.8,86,32.1,3,6.9,9
2026-05-17,Philippines,Manila,25.9,92,31.7,81,3.7,67
2026-05-17,Philippines,Manila,26.0,88,31.4,2,4.5,29
2026-05-17,Philippines,Manila,27.8,83,33.4,2,6.1,346
2026-05-18,Philippines,Manila,27.3,81,32.8,0,3.2,34
2026-05-19,Philippines,Manila,27.1,88,33.5,0,2.5,360
2026-05-20,Philippines,Manila,28.6,77,34.3,0,3.1,80
2026-05-21,Philippines,Manila,29.5,72,34.4,0,7.2,103
2026-05-22,Philippines,Manila,30.0,67,34.9,0,4.5,106
2026-05-23,Philippines,Manila,29.8,69,34.2,3,9.8,319
2026-05-24,Philippines,Manila,31.1,67,36.1,0,9.0,180
2026-05-25,Philippines,Manila,28.1,76,33.7,3,2.2,95
2026-05-26,Philippines,Manila,29.5,76,35.6,0,3.7,157
2026-05-27,Philippines,Manila,30.5,68,35.7,51,6.3,267
2026-05-28,Philippines,Manila,27.8,81,33.7,51,2.8,207
2026-05-29,Philippines,Manila,28.8,82,35.3,51,2.9,11
2026-05-30,Philippines,Manila,28.1,83,34.0,55,5.9,282
2026-05-31,Philippines,Manila,28.3,80,33.6,53,8.0,224
2026-06-01,Philippines,Manila,25.1,94,30.9,55,3.0,155
2026-06-02,Philippines,Manila,25.8,96,32.0,51,4.0,108
2026-06-03,Philippines,Manila,26.9,91,33.0,3,5.4,165
2026-06-04,Philippines,Manila,27.7,85,31.6,53,18.6,240
2026-06-05,Philippines,Manila,26.9,87,31.9,80,10.1,259
2026-06-06,Philippines,Manila,28.2,84,34.3,3,5.2,268
2026-06-07,Philippines,Manila,27.8,88,34.4,1,3.5,9
2026-06-08,Philippines,Manila,28.2,89,35.0,95,5.4,188
2026-06-09,Philippines,Manila,28.9,77,33.7,3,11.2,248
2026-06-10,Philippines,Manila,28.7,77,34.4,3,3.5,345
2026-06-11,Philippines,Manila,27.1,86,33.0,3,4.4,55
2026-06-12,Philippines,Manila,28.3,81,34.4,3,3.4,344
2026-06-13,Philippines,Manila,25.7,94,31.3,81,5.8,194
2026-06-14,Philippines,Manila,29.4,77,34.3,0,11.6,222
2026-06-15,Philippines,Manila,27.7,80,33.4,1,2.2,14
2026-06-16,Philippines,Manila,30.5,64,35.6,1,2.1,340
2026-06-17,Philippines,Manila,31.6,58,35.1,0,10.4,90
2026-06-18,Philippines,Manila,31.3,60,35.1,2,9.9,102
2026-06-19,Philippines,Manila,29.3,78,35.5,3,3.4,162
2026-06-20,Philippines,Manila,30.9,72,35.8,2,12.9,250
2026-06-21,Philippines,Manila,29.5,70,34.5,1,4.9,88
2026-06-22,Philippines,Manila,30.1,73,35.5,3,8.3,257
2026-06-23,Philippines,Manila,30.1,71,33.9,51,16.3,263
2026-06-24,Philippines,Manila,28.1,83,32.2,51,18.1,235
2026-06-25,Philippines,Manila,27.7,84,32.4,95,12.1,250
2026-06-26,Philippines,Manila,27.4,84,31.6,51,14.1,220
2026-06-27,Philippines,Manila,28.6,80,33.3,3,12.9,233
2026-06-29,Philippines,Manila,26.2,90,31.9,3,4.5,146
2026-06-30,Philippines,Manila,24.7,96,30.1,53,5.0,44
2026-07-01,Philippines,Manila,28.3,82,33.6,3,9.1,142
2026-07-02,Philippines,Manila,27.8,86,33.6,3,7.3,138
2026-07-03,Philippines,Manila,29.6,77,35.1,0,9.4,137
2026-07-04,Philippines,Manila,30.7,69,35.9,1,7.6,118
2026-07-05,Philippines,Manila,27.4,80,32.6,55,4.3,253
2026-07-06,Philippines,Manila,29.0,74,34.5,1,3.9,77
2026-07-07,Philippines,Manila,25.7,91,30.7,80,7.7,16
2026-07-08,Philippines,Manila,29.4,75,34.1,51,11.5,312
2026-07-09,Philippines,Manila,28.6,76,31.7,51,19.6,268
2026-07-10,Philippines,Manila,27.2,84,30.6,51,19.0,257
2026-07-11,Philippines,Manila,26.5,88,29.5,80,22.1,230
2026-07-12,Philippines,Manila,26.5,94,32.9,51,4.7,184
2026-07-13,Philippines,Manila,27.8,86,33.6,3,6.8,197
2026-07-14,Philippines,Manila,29.4,72,33.7,3,11.8,245
2026-07-15,Philippines,Manila,29.5,73,33.9,3,12.4,242
2026-07-16,Philippines,Manila,29.9,71,34.5,0,10.8,234
2026-07-17,Philippines,Manila,30.4,65,34.3,0,10.9,254
2026-07-18,Philippines,Manila,30.3,64,34.3,0,9.5,271
2026-07-19,Philippines,Manila,29.1,73,33.2,51,11.7,259
2026-07-20,Philippines,Manila,26.7,84,31.2,51,10.0,342
2026-07-21,Philippines,Manila,29.0,73,34.4,3,3.4,357
